3,154,13,AWO Psychiatriezentrum,Psychiatrische Tagesklinik Helmstedt - Stationäre Behandlung,Gröpern,9,38350,helmstedt,05353 90-0,poststelle@awo-apz.de,www.awo-psychiatriezentrum.de,2,AWO Niedersachsen gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helmstedt,52.2089226,11.0028882,34,27
3,154,13,AWO Psychiatriezentrum,Psychiatrische Tagesklinik Peine - Stationäre Behandlung,Ilseder Straße,35,31226,peine,05353 90-0,poststelle@awo-apz.de,www.awo-psychiatriezentrum.de,2,AWO Niedersachsen gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peine,52.3117289,10.251904,35,22
3,154,13,AWO Psychiatriezentrum,Psychiatrische Tagesklinik Wolfenbüttel - Stationäre Behandlung,Monplaisir,4,38304,wolfenbüttel,05353 90-0,poststelle@awo-apz.de,www.awo-psychiatriezentrum.de,2,AWO Niedersachsen gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wolfenbüttel,52.1625283,10.5348215,34,24
3,155,11,Helios Albert-Schweitzer-Klinik Northeim,Helios Albert-Schweitzer-Klinik Hauptstandort,Albert-Schweitzer-Weg,1,37154,northeim,05551 97-0,information.northeim@helios-gesundheit.de,www.helios-gesundheit.de,3,Helios Albert-Schweitzer-Klinik Northeim GmbH,2,2,2,2,2,2,2,229,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,15.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,northeim,51.7643823,9.8583289,31,20
3,157,6,Klinikum Peine gGmbH,Klinikum Peine - Stationäre Behandlung,Virchowstraße,8H,31226,peine,05171 93-0,klinikuminfo@klinikum-peine.de,www.klinikum-peine.de,1,Klinikum Peine gGmbH,2,1,2,2,2,2,2,260,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,44.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peine,52.3117289,10.251904,35,22
3,159,16,Asklepios Fachklinikum Göttingen,Asklepios Fachklinikum Göttingen - Stationäre Behandlung,Rosdorfer Weg,70,37081,göttingen,0551 402-0,poststelle.goettingen@asklepios.com,www.asklepios.com,3,Asklepios Psychiatrie Niedersachsen GmbH,2,0,2,2,2,2,2,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,göttingen,51.5328328,9.9351811,29,21
3,241,1,Kinder- und Jugendkrankenhaus auf der Bult,Tagesklinik und Ambulanz Celle - Stationäre Behandlung,Fritzenwiese,15,29221,celle,0511 8115-0,info@hka.de,www.auf-der-bult.de,2,Stiftung Hannoversche Kinderheilanstalt,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,celle,52.624056,10.081052,37,21
3,241,21,KRH Psychiatrie Wunstorf GmbH,Standort Nienburg - Stationäre Behandlung,Hannoversche Straße,65,31582,nienburg (weser),05031 93-0,info.wunstorf@krh.eu,www.krh.eu,1,Klinikum Region Hannover GmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nienburg (weser),52.6487602,9.2578105,37,17
3,251,7,Klinik Bassum,Psychiatrische Tagesklinik Diepholz,Eschfeldstraße,8,49356,diepholz,04241 81-0,,www.kliniken-lkd.de,1,Kliniken Landkreis Diepholz gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diepholz,52.7478987,8.7615261,38,14
3,251,12,Klinik Diepholz,Klinik Diepholz - Stationäre Behandlung,Eschfeldstraße,8,49356,diepholz,05441 972-0,,www.kliniken-lkd.de,1,Kliniken Landkreis Diepholz gGmbH,2,1,2,2,2,2,2,116,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diepholz,52.7478987,8.7615261,38,14
3,254,21,AMEOS Klinikum Hildesheim,AMEOS TK Goslar,Kornstraße,52,38640,goslar,05121 103-1,info@hildesheim.ameos.de,www.ameos.eu,3,AMEOS Krankenhausgesellschaft Niedersachsen mbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,goslar,51.9059936,10.4266284,32,23
3,254,21,AMEOS Klinikum Hildesheim,AMEOS Klinikum Hildesheim - Stationäre Behandlung,Goslarsche Landstraße,60,31135,hildesheim,05121 103-1,info@hildesheim.ameos.de,www.ameos.eu,3,AMEOS Krankenhausgesellschaft Niedersachsen mbH,2,0,2,2,2,2,2,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.0,,,,,,,,,,,,,93.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hildesheim,52.1527188,9.9518083,34,21
3,254,21,AMEOS Klinikum Hildesheim,AMEOS TK Oldokopstr Hi.,Oldekopstraße,14,31134,hildesheim,05121 103-1,info@hildesheim.ameos.de,www.ameos.eu,3,AMEOS Krankenhausgesellschaft Niedersachsen mbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hildesheim,52.1527188,9.9518083,34,21
3,254,21,AMEOS Klinikum Hildesheim,AMEOS TK Holzminden,Sollingstraße,85,37603,holzminden,05121 103-1,info@hildesheim.ameos.de,www.ameos.eu,3,AMEOS Krankenhausgesellschaft Niedersachsen mbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holzminden,51.8989989,9.5741099,32,19
3,254,21,HELIOS Klinikum Hildesheim GmbH,Helios Klinikum Hildesheim - Stationäre Behandlung,Senator-Braun-Allee,33,31135,hildesheim,05121 89-0,gf.hildesheim@helios-gesundheit.de,www.helios-gesundheit.de,3,HELIOS Klinikum Hildesheim GmbH,2,2,2,1,2,2,2,578,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,36.0,,,,,,,,,,,,,,,,,,202.0,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,39.0,,,,,,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,29.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,hildesheim,52.1527188,9.9518083,34,21
3,254,21,St. Bernward Krankenhaus,Krankenhaus-Hauptgebäude - Stationäre Behandlung,Treibestraße,9,31134,hildesheim,05121 90-0,info@bernward-khs.de,www.bernward-khs.de,2,St. Bernward KrankenhausGmbH,2,3,2,1,2,2,2,502,148.0,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,4.0,,,31.0,,,,,,,,,,47.0,,23.0,,,,,,,,,,,38.0,25.0,,,,38.0,,,,,,,1.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hildesheim,52.1527188,9.9518083,34,21
3,255,23,AGAPLESION Evangelisches Krankenhaus Holzminden gGmbH,AGAPLESION KH Holzminden,Forster Weg,34,37603,holzminden,05531 705-0,welcome@evk-holzminden.de,www.evk-holzminden.de,2,AGAPLESION Evangelisches Krankenhaus Holzminden gGmbH,2,2,2,2,2,2,2,189,14.0,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,30.0,,,,,,,,,,,,,4.0,,,,,12.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holzminden,51.8989989,9.5741099,32,19
3,255,23,Albert-Schweitzer-Therapeutikum,Albert-Schweitzer-Therapeutikum - Stationäre Behandlung,Pipping,5,37603,holzminden,05531 9311-0,therapeutikum@familienwerk.de,www.familienwerk.de,2,Albert-Schweitzer-Familienwerk,2,0,2,2,2,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holzminden,51.8989989,9.5741099,32,19
3,256,22,HELIOS Kliniken Mittelweser GmbH Klinik Nienburg,Helios Klinik Mittelweser Nienburg,Ziegelkampstraße,39,31582,nienburg (weser),05021 9210-0,info.mittelweser@helios-gesundheit.de,www.helios-gesundheit.de,3,HELIOS Kliniken Mittelweser GmbH,2,2,2,2,2,2,2,290,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,25.0,12.0,,,,28.0,,,,,,2.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nienburg (weser),52.6487602,9.2578105,37,17
3,351,6,Allgemeines Krankenhaus Celle,Allgemeines Krankenhaus Celle - Stationäre Behandlung,Siemensplatz,4,29223,celle,05141 72-0,info@akh-celle.de,www.akh-celle.de,2,Stiftung Allgemeines Krankenhaus Celle,2,3,2,1,2,2,2,436,33.0,,,,,,,,,,,,,,,,25.0,,,,63.0,,,,,,,,,,,48.0,,,,,,38.0,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,17.0,,,,,,,,,,,24.0,23.0,,,,48.0,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,celle,52.624056,10.081052,37,21
3,351,6,Psychiatrisch-Psychosomatische Klinik Celle,Psychiatrische Klinik Celle,Schlepegrellstraße,4,29223,celle,05141 5935-0,mail@warhrendorff.de,www.klinikum-celle.de,3,Klinikum Wahrendorff GmbH,2,0,2,2,2,2,2,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,celle,52.624056,10.081052,37,21
3,352,11,AMEOS Klinikum Seepark Geestland GmbH,AMEOS Klinikum Geestland Standort Cuxhaven,Feldweg,24,27474,cuxhaven,04743 893-0,info@geestland.ameos.de,www.ameos.eu,3,AMEOS Klinikum Geestland GmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuxhaven,53.86878,8.698286,46,14
3,352,11,HELIOS Klinik Cuxhaven GmbH,Helios Klinik Cuxhaven GmbH - Stationäre Behandlung,Altenwalder Chaussee,10,27474,cuxhaven,04721 78-0,info.cuxhaven@helios-gesundheit.de,www.helios-gesundheit.de,3,HELIOS Klinik Cuxhaven GmbH,2,2,2,1,2,2,2,278,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,15.0,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,21.0,34.0,,,,18.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuxhaven,53.86878,8.698286,46,14
3,355,22,Orthoklinik Lüneburg GmbH,Hauptstandort - Stationäre Behandlung,Ginsterweg,5,21335,lüneburg,04131 722-0,info@orthoklinik-lueneburg.de,www.orthoklinik-lueneburg.de,3,Orthoklinik Lüneburg GmbH,2,0,2,2,2,2,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lüneburg,53.248706,10.407855,42,23
3,355,22,Psychiatrische Klinik Lüneburg gemeinnützige GmbH,Psychiatrische Klinik Lüneburg gGmbH - Stationäre Behandlung,Am Wienebütteler Weg,1,21339,lüneburg,04131 60-0,info@pk.lueneburg.de,www.pk.lueneburg.de,1,Gesundheitsholding Lüneburg GmbH,2,0,2,2,2,2,2,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lüneburg,53.248706,10.407855,42,23
3,355,22,Städtisches Klinikum Lüneburg gGmbH,Städtisches Klinikum Lüneburg - Stationäre Behandlung,Bögelstraße,1,21339,lüneburg,04131 77-0,info@klinikum-lueneburg.de,www.klinikum-lueneburg.de,1,Städtisches Klinikum Lüneburg gGmbH,2,3,2,1,2,2,2,543,146.0,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,3.0,,,,,,56.0,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,56.0,,,,,,,,,,,,,49.0,,,,,59.0,,,,,,5.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lüneburg,53.248706,10.407855,42,23
3,357,39,AGAPLESION Diakonieklinikum Rotenburg gGmbH,Hauptstandort - Stationäre Behandlung,Elise-Averdieck-Straße,17,27356,rotenburg (wümme),04261 77-0,krankenhaus@diako-online.de,www.diako-online.de,2,AGAPLESION Diakonieklinikum Rotenburg gGmbH,2,3,2,2,2,2,2,741,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,33.0,,,,,,,,,,,,,,10.0,,74.0,,88.0,,,,,,,,,,37.0,18.0,,10.0,,,,,,,,,,30.0,26.0,,,,34.0,,,,,,25.0,,62.0,,,,,92.0,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,rotenburg (wümme),53.1108906,9.4049292,41,18
3,357,39,AGAPLESION Diakonieklinikum Rotenburg gGmbH,Unterstedt - Stationäre Behandlung,Verdener Straße,200,27356,rotenburg (wümme),04261 77-0,krankenhaus@diako-online.de,www.diako-online.de,2,AGAPLESION Diakonieklinikum Rotenburg gGmbH,2,0,2,1,2,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rotenburg (wümme),53.1108906,9.4049292,41,18
3,451,2,Karl-Jaspers-Klinik,Tagesklinik Cloppenburg - Stationäre Behandlung,Bürgermeister-Heukamp-Straße,22,49661,cloppenburg,0441 9615-0,info@kjk.de,www.karl-jaspers-klinik.de,2,Psychiatrieverbund Oldenburger Land gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cloppenburg,52.8461339,8.0438783,39,10
3,453,4,St.-Josefs-Hospital Cloppenburg gGmbH,St. Josefs-Hospital Cloppenburg,Krankenhausstraße,13,49661,cloppenburg,04471 16-0,verwaltung@kh-clp.de,www.krankenhaus-cloppenburg.de,2,St.-Josefs-Hospital Cloppenburg gGmbH,2,1,2,2,2,2,2,278,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,15.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cloppenburg,52.8461339,8.0438783,39,10
3,458,5,Klinik für Kinder- und Jugendpsychotherapie Wichernstift gGmbH,Tagesklinik Cuxhaven - Stationäre Behandlung,Altenwalder-Chaussee,10,27474,cuxhaven,04221 852-0,klinik@wichernsstift.de,www.wichernstift.de,2,Ev.-luth. Wichernstift Ganderkesee,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuxhaven,53.86878,8.698286,46,14
