Feldbezeichnung,Inhalt
2600,"Hals-, Nasen-, Ohrenheilkunde"
2700,Augenheilkunde
2800,Neurologie
2810,Neurologie/Schwerpunkt Pädiatrie
2851,Neurologie/Schwerpunkt Gerontologie
2852,Neurologie/Schwerpunkt Neurologische Frührehabilitation
2856,Neurologie/Schwerpunkt Schlaganfallpatienten
2900,Allgemeine Psychiatrie
2928,Allgemeine Psychiatrie/Schwerpunkt Neurologie
2930,Allgemeine Psychiatrie/Schwerpunkt Kinder- und Jugendpsychiatrie
2931,Allgemeine Psychiatrie/Schwerpunkt Psychosomatik/Psychotherapie
2950,Allgemeine Psychiatrie/Schwerpunkt Suchtbehandlung
2951,Allgemeine Psychiatrie/Schwerpunkt Gerontopsychiatrie
2952,Allgemeine Psychiatrie/Schwerpunkt Forensische Behandlung
2953,"Allgemeine Psychiatrie/Schwerpunkt Suchtbehandlung, Tagesklinik - keine vollstationären Betten"
2954,"Allgemeine Psychiatrie/Schwerpunkt Suchtbehandlung, Nachtklinik - keine vollstationären Betten"
2955,"Allgemeine Psychiatrie/Schwerpunkt Gerontopsychiatrie, Tagesklinik - keine vollstationären Betten"
2956,"Allgemeine Psychiatrie/Schwerpunkt Gerontopsychiatrie, Nachtklinik - keine vollstationären Betten"
2960,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze) - keine vollstationären Betten
2961,Allgemeine Psychiatrie/Nachtklinik (für teilstationäre Pflegesätze) - keine vollstationären Betten
3000,Kinder- und Jugendpsychiatrie
3060,Kinder- und Jugendpsychiatrie/Tagesklinik (für teilstationäre Pflegesätze) - keine vollstationären Betten
3061,Kinder- und Jugendpsychiatrie/Nachtklinik (für teilstationäre Pflegesätze) - keine vollstationären Betten
3100,Psychosomatik/Psychotherapie
3110,Psychosomatik/Psychotherapie/Schwerpunkt Kinder- und Jugendpsychosomatik
3160,Psychosomatik/Psychotherapie/Tagesklinik (für teilstationäre Pflegesätze) - keine vollstationären Betten
3161,Psychosomatik/Psychotherapie/Nachtklinik (für teilstationäre Pflegesätze) - keine vollstationären Betten
3200,Nuklearmedizin
3233,Nuklearmedizin/Schwerpunkt Strahlenheilkunde
3300,Strahlenheilkunde
3305,Strahlenheilkunde/Schwerpunkt Hämatologie und internistische Onkologie
3350,Strahlenheilkunde/Schwerpunkt Radiologie
3400,Dermatologie
3460,Dermatologie/Tagesklinik (für teilstationäre Pflegesätze) - keine vollstationären Betten
3500,"Zahn- und Kieferheilkunde, Mund- und Kieferchirurgie"
3600,Intensivmedizin
3601,Intensivmedizin/Schwerpunkt Innere Medizin
3603,Intensivmedizin/Schwerpunkt Kardiologie
3610,Intensivmedizin/Schwerpunkt Pädiatrie
3617,Intensivmedizin/Schwerpunkt Neurochirurgie
3618,Intensivmedizin/Schwerpunkt Chirurgie
3621,Intensivmedizin/Schwerpunkt Herzchirurgie
3622,Intensivmedizin/Schwerpunkt Urologie
3624,Intensivmedizin/Schwerpunkt Frauenheilkunde und Geburtshilfe 
3626,"Intensivmedizin/Schwerpunkt Hals-, Nasen-, Ohrenheilkunde"
3628,Intensivmedizin/Schwerpunkt Neurologie 
3650,Operative Intensivmedizin/Schwerpunkt Chirurgie
3651,Intensivmedizin/Thorax-Herzchirurgie
3652,Intensivmedizin/Herz-Thoraxchirurgie
3700,Sonstige Fachabteilung
3750,Angiologie
3751,Radiologie
3752,Palliativmedizin
3753,Schmerztherapie
3754,Heiltherapeutische Abteilung
3755,Wirbelsäulenchirurgie
3756,Suchtmedizin
3757,Visceralchirurgie
3758,Weaningeinheit
