1,53,100,AMEOS Reha Klinikum Ratzeburg,Röpersberg,47,23909,Ratzeburg,04561 611-4529,lgah.verw@neustadt.ameos.de,www.ameos.eu/standorte/ameos-nord/ratzeburg/,3,AMEOS Krankenhausgesellschaft Südholstein mbH,6,255,30.0,,,,,154.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,48.0,,,,,,,,,,,
1,54,14,Fachklinik Norderheide,Norderweg,1,25852,Bordelum,04671 405-0,norderheide@ak-familienhilfe.de,www.ak-familienhilfe.de/unsere-fachkliniken/,2,Deutscher Arbeitskreis für Familienhilfe e.V.,6,270,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,20,DIAKO Nordfriesland gGmbH Fachklinik für Rehabilitation,Gammeltoft,8-15,25821,Breklum,,wangerkar@diako.de,www.diako-nf.de/unsere-angebote/fachklinik-fuer-rehabilitation,2,DIAKO Nordfriesland gGmbH,6,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,
1,54,85,Fachklinik Satteldüne für Kinder und Jugendliche der Deutschen Rentenversicherung Nord,Tanenwai,32,25946,Nebel/Amrum,04682 342-100,sarah.iwersen@drv-nord.de,www.deutsche-rentenversicherung.de/,1,Deutsche Rentenversicherung Nord,6,165,,,,,,,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,89,AOK-Nordseeklinik - Fachklinik für Mutter und Kind,Strunwai,23,25946,Norddorf/Amrum,04682 37499,philipp.joroch@aok-nordseeklinik.de,www.aok-nordseeklinik.de/startseite,3,REHASAN Mutter und Kind Klinik GmbH,6,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.0,,,,,
1,54,103,DRK-Zentrum für Gesundheit und Familie Dr. Gabriele Akkermann,Uthlandstraße,8,25849,Pellworm,04844 991-158,elke.kuckoreit@drk-sh.de,www.muettergenesungswerk.de/,2,DRK-Kur und Reha gGmbH,6,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,
1,54,113,BG Nordsee Reha-Klinik St. Peter-Ording,Wohldweg,7,25826,St. Peter-Ording,04863 494-2751,d.klages@bg-nrk.de,www.bg-kliniken.de/rehaklinik-st-peter-ording/,2,Reha-Klinik St. Peter-Ording gGmbH,6,239,,,,,,,,,,,,,,,,,,,,,,,,239.0,,,,,,,,,,,,,,,,,,,
1,54,113,DRK-Nordsee-Reha-Klinik Goldene Schlüssel,Im Bad,102,25826,St. Peter-Ording,04863 702-131,sven.krueger@drk-sh.de,www.drk-nordsee-reha-klinik.de/,2,DRK-Landesverband Schleswig-Holstein e.V.,6,190,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,113,"Gesundheitsklinik ""Stadt Hamburg""",Im Bad,35,25826,St. Peter-Ording,04863 8670-0,c.volquardsen@gesundheitsklinik.com,www.gesundheitsklinik.com/de/index.php,3,Gesundheitsklinik Stadt Hamburg GmbH,6,128,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,113,Hamm Klinik Nordfriesland,Wohldweg,9,25826,St. Peter-Ording,04863 401-518,gina.lehmann@hamm-kliniken.de,www.hamm-kliniken.de/kliniken/klinik-nordfriesland,3,Hamm-Kliniken GmbH & Co. KG,6,195,,,,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,113,Strandklinik St. Peter Ording,Fritz-Wischer-Platz,3,25826,St. Peter-Ording,04863 706-1752,a.peters@strandklinik-spo.de,www.strandklinik-spo.de/,3,Strandklinik St. Peter-Ording GmbH & Co. KG,6,300,,,,,,,,,,,,,,,100.0,,,,,,,,,40.0,,,,,,,,120.0,,,40.0,,,,,,,,
1,54,143,Reha-Zentrum Utersum auf Föhr,Uaster Jügem,1,25938,Utersum,04683 6366,ULRIKE.WAGENER@DRV-BUND.DE,utersum.deutsche-rentenversicherung-reha-zentren.de,1,Deutsche Rentenversicherung Bund,6,190,,,,,,,,,75.0,,,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,
1,54,160,DRK-Zentrum für Gesundheit und Familie Wittdün auf Amrum,Inselstraße,44+53,25946,Wittdün auf Amrum,04863 702-131,sven.krueger@drk-sh.de,www.mutter-vater-kind-kur.org/109/amrum/unser-zentrum,2,DRK-Kur und Reha gGmbH,7,107,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,164,Klinik Sonneneck GmbH Wyk auf Föhr,Osterstraße,2,25938,Wyk auf Föhr,,,rehaklinik.net/website/pages/klinik.php,3,Klinik Sonneneck Betriebs GmbH,6,98,,8.0,,,,10.0,,,,,,,,,,,,,,,,,,,60.0,,20.0,,,,,,,,,,,,,,,,
1,54,164,Klinik Westfalen Reha-Klinik am Meer,Sandwall,25-27,25938,Wyk auf Föhr,04681 599-141,c.jensen@nordseeklinik.online,nordseeklinik-westfalen.de/,3,Klinik Westfalen Betriebs GmbH,6,96,,1.0,,1.0,,,,,85.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,7.0,,,,
1,54,164,"Nordseesanatorium ""Marienhof"", Wyk auf Föhr",Am Golfplatz,9a,25938,Wyk auf Föhr,04681 588-112,info@nordseesanatorium.de,www.nordseesanatorium.de/,2,Diakonie - Hilfswerk Schleswig-Holstein DHW,6,95,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,168,Asklepios Nordseeklinik Sylt,Norderstraße,81,25980,Sylt OT Westerland,04651 841-120,c.erichsen@asklepios.com,www.asklepios.com/sylt/reha/,3,Asklepios Nordseeklinik Westerland GmbH,6,290,,,,,,100.0,,,105.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,70.0,,,,,,,,
1,54,168,Fachklinik Sylt für Kinder und Jugendliche,Steinmannstraße,52-54,25980,Sylt OT Westerwald,04651 852-406,thorsten.bubel@drv-nord.de,www.fachklinik-sylt.de/,1,Deutsche Rentenversicherung Nord,6,160,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,168,"Insel Klinik Sylt Präventions- und Rehabilitationseinrichtung für Mutter, Vater und Kind",Nordheding,10,25980,Sylt OT Westerland,04651 924-420,escher@insel-klinik-sylt.de,www.insel-klinik-sylt.de/,3,Klinik Sylt Betriebs GmbH,6,150,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,168,Louise-Schroeder-Haus Haus der Mutter-Kind-Kuren,Am Kliff,6,25980,Sylt OT Keitum,04651 638-793,lisa.meier@awo-sh.de,www.muettergenesungswerk.de/klinik/louise-schroeder-haus,2,AWO Schleswig-Holstein gemeinnützige GmbH,6,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,
1,55,4,Asklepios Klinik Am Kurpark Bad Schwartau,Am Kurpark,6-12,23611,Bad Schwartau,0451 200-4146,k.westfahl@asklepios.com,www.asklepios.com/bad-schwartau/,3,Asklepios Reha-Klinik Bad Schwartau GmbH,6,282,,,,,,,,,,,,,,,,,,,,,,,,197.0,85.0,,,,,,,,,,,,,,,,,,
1,55,10,Eltern- Kind-Fachklinik Seefrieden,Dahmeshöved,20,23747,Dahme,04644 702-5124,l.nagel@ak-familienhilfe.de,www.ak-familienhilfe.de/unsere-fachkliniken/,2,Deutscher Arbeitskreis für Familienhilfe e.V.,6,135,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55,16,Klinik Ostseedeich GmbH,Deichweg,1,23743,Grömitz,04562 253-401,baumann@klinik-ostseedeich.de,www.klinik-ostseedeich.de/,3,Klinik Ostseedeich GmbH & Co. KG,6,265,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55,16,Ostseeklinik Grömitz Mutter und Kind,Blankenwasserweg,65,23743,Grömitz,04562 254-121,mandy.munzel@ostseeklinik-groemitz.de,www.ostseeklinik-groemitz.de/,3,Rehasan Klinik Grömitz Betriebs GmbH,6,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0,,,,
1,55,17,Kurhaus Baltic,Orthfeld,,23775,Großenbrode,0231 5483-249,joerg.langemann@aw-kur.de,www.aw-kur.de/kurhaus-baltic,2,AW - Kur- und Erholungsgesellschaft mbH,6,124,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55,17,Kurklinik Miramar Jäcker GmbH & Co KG,Südstrand,5,23775,Großenbrode,04367 718-0,h.effe@kurklinikmiramar.de,kurklinikmiramar.de/,3,Kurklinik Miramar Jäcker GmbH & Co KG,6,145,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55,25,Gertrud-Völcker-Haus Mutter-Kind-Kuren an der Ostsee,Am Ring,15,23746,Kellenhusen,04364 492-3120,svenja.boellert@awo-sh.de,www.muettergenesungswerk.de/klinik/gertrud-voelcker-haus,2,AWO Schleswig-Holstein gemeinnützige GmbH,6,82,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55,28,Curtius-Klinik Fachklinik für Psychosomatik und Psychotherapeutische Medizin,Neue Kampstraße,2,23714,Bad Malente-Gremsmühlen,01776546615,i.franke@curtius-klinik.de,www.curtius-klinik.de/,3,Curtius-Klinik GmbH & Co. KG,6,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,
1,55,28,Mühlenbergklinik - Holsteinische Schweiz,Frahmsallee,1-7,23714,Bad Malente-Gremsmühlen,,michael.stock@drv-nord.de,www.muehlenbergklinik-holsteinische-schweiz.de/willkommen/,1,Deutsche Rentenversicherung Nord,7,311,,,,121.0,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,,
1,55,32,Kurzentrum Soziales Genesungswerk Pelzerhaken Ostsee e.V.,Strandallee,1-3,23730,Neustadt in Holstein,04561 710-713,j.franke@kurzentrum-pelzerhaken.de,www.kurzentrumpelzerhaken.de/,2,Kurzentrum Soziales Genesungswerk Pelzerhaken Ostsee e.V.,6,200,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,61.0,,,,,,,,122.0,,,,,
1,55,32,Schön Klinik Neustadt Rehabilitation,Am Kiebitzberg,10,23730,Neustadt in Holstein,040 2092-3165,ggruening@schoen-klinik.de,www.schoen-klinik.de/neustadt/fachzentren-institute/,3,Schön Klinik Neustadt SE & Co. KG,6,174,,,,,,,,,,,,,,,,,,,,,,,,174.0,,,,,,,,,,,,,,,,,,,
1,55,42,Caritas Westfalenhaus Vorsorge für Mutter und Kind,Travemünder Landstraße,1,23669,Timmendorfer Strand,04503 8706-0,Katja.Niebelschuetz@caritas-im-norden.de,www.caritas-westfalenhaus.de/,2,St. Anna - Caritas gGmbH,6,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,
1,55,42,Curschmann-Klinik,Saunaring,6,23669,Timmendorfer Strand,040 3410-3133,schniewindl@drguth.de,curschmannklinik.de/,3,Klinikgruppe Dr. Guth GmbH & Co. KG,6,139,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55,42,Mutter-Kind-Kureinrichtungen Maria Meeresstern,Steiluferallee,1-4,23669,Timmendorfer Strand,04503 890-4114,hanson@maria-meeresstern.de,maria-meeresstern.de/,2,Kongregation der Franziskanerinnen Thuine e. V.,6,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,,,,
1,55,46,Therapeutikum WestFehmarn,Wuhrt Ruhm,4,23769,Fehmarn,,oliver.kettner@twkg.de,therapeutikum-westfehmarn.de/,3,COR Therapeutikum WestFehmarn GmbH & Co. KG,6,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,
1,57,57,Caritashaus St. Walburg gGmbH Vorsorge und Rehabilitation für Mutter und Kind,Kieler Kamp,38,24306,Plön,04522 7670-304,brunke@st-walburg.de,www.st-walburg.de/,2,Caritashaus St. Walburg gGmbH,6,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,
1,57,57,DRK Zentrum für Gesundheit und Familie Elly-Heuss-Knapp,Ölmühlenallee,6,24306,Plön,04522 804-250,maren.clausen@drk-sh.de,,2,DRK-Kur und Reha gGmbH,6,83,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,57,Fachklinik Freudenholm-Ruhleben Entwöhnung,Freudenholm,3,24211,Schellhorn,04328 18-123,barre.marjenn@landesverein.de,landesverein.de/uebersicht-fachklinik-freudenholm-ruhleben,2,Landesverein für Innere Mission in Schleswig-Holstein,6,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,
1,57,73,Ostseeklinik Holm Klinik für Rehabilitation und Prävention,An den Salzwiesen,1,24217,Schönberg,04344 37-1033,personalwesen@ostseeklinik.com,www.ostseeklinik.com/,3,Ostseeklinik Holm Reinhold Göttsch GmbH & Co. KG,6,330,,,,110.0,,,,,110.0,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,
1,58,9,Fachklinik Aukrug der Deutschen Rentenversicherung Nord,Tönsheide,,24613,Aukrug-Tönsheide,04873 9097-270,Martin.Groll@drv-nord.de,www.fachklinik-aukrug.de/willkommen/,1,Deutsche Rentenversicherung Nord,6,221,,,,,,,,,,,,,,,30.0,,,,,,,,,78.0,,,,,,,,113.0,,,,,,,,,,,
1,58,32,VAMED Rehaklinik Schloss Schönhagen,Schloßstraße,1,24398,Ostseebad Schönhagen,04644 902-502,andrea.sellig@vamed-gesundheit.de,www.vamed-gesundheit.de/reha/schoenhagen/,3,VAMED Rehaklinik Schloss Schönhagen GmbH,6,260,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,40,VAMED Rehaklinik Damp,Seute-Deern-Ring,30,24351,Damp,04352 808-408,stefanie.moeller@vamed-gesundheit.de,www.vamed-gesundheit.de/reha/damp-rehaklinik/,3,VAMED Rehaklinik Damp GmbH,6,790,,,,105.0,35.0,,,,,,,,,,,,,,,,,,,434.0,,,,,156.0,,,60.0,,,,,,,,,,,
1,58,135,Reha-Zentrum für Hörgeschädigte GmbH,Paradeplatz,3,24768,Rendsburg,04331 5897-0,info@hoergeschaedigt.de,www.hoergeschaedigt.de/,3,RZ Rehabilitationszentrum für Hörgeschädigte GmbH,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,
1,58,136,Therapiezentrum in Rickert GmbH & Co. KG,Dorfstraße,48,24782,Rickert,04331 346-200,s.werlich@therapiezentrum-in-rickert.de,therapiezentrum-in-rickert.de/,3,Therapiezentrum in Rickert GmbH & Co. KG,7,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,
1,58,150,Klinik Schwedeneck,Kieler Straße,1,24229,Schwedeneck,04308 184-0,schaedler@klinik-schwedeneck.de,www.klinik-schwedeneck.de/,3,Klinik Schwedeneck GmbH & Co. Betriebs KG,6,180,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,4,Rheumaklinik Bad Bramstedt,Oskar-Alexander-Straße,26,24576,Bad Bramstedt,,controlling@klinikumbb.de,www.klinikumbadbramstedt.de/,1,Klinikum Bad Bramstedt GmbH,6,500,,,,,,,,,,80.0,,,,,,,,,,,,,,290.0,,,,,130.0,,,,,,,,,,,,,,
1,59,179,Fachklinik Peers Hoop,Westerstraße,2-4,24969,Sillerup,040 200010-7300,peershoop@therapiehilfe.de,www.therapiehilfe.de/standorte/fachklinik-peers-hoop/,2,Therapiehilfe gGmbH,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,
1,60,4,Schön Klinik Bad Bramstedt,Birkenweg,10,24576,Bad Bramstedt,040 2092-3165,ggruening@schoen-klinik.de,www.schoen-klinik.de/bad-bramstedt,3,Schön Klinik Bad Bramstedt GmbH,6,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,
1,60,5,Segeberger Kliniken GmbH,Am Kurpark,1,23795,Bad Segeberg,04551 802-9655,kevin.repka@segebergerkliniken.de,www.segebergerkliniken.de/,3,Segeberger Kliniken GmbH,6,510,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,180.0,,,,,,,,,,,
1,61,28,Vital-Kliniken GmbH Klinik Buchenholm,Plöner Straße,20,23714,Bad Malente,04523 987-0,hauke.lehmann@vital-kliniken.de,www.vital-kliniken.de/reha-und-ahb/,3,Vital Kliniken GmbH,6,151,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,76.0,,,,,,,,,,,
1,62,4,Asklepios Rehaklinik Bad Oldesloe,Schützenstraße,55,23843,Bad Oldesloe,04531 681-561,e.klapdohr@asklepios.com,www.asklepios.com/reha-bad-oldesloe/,3,Asklepios Rehaklinik Bad Oldesloe GmbH,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,
1,62,23,Klinik Manhagen,Sieker Landstraße,19,22927,Großhansdorf,04102 605-289,hendrik.eynoethen@manhagen.de,www.manhagen.de/,3,Klinik Manhagen GmbH & Co. KG,6,25,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,
1,62,28,"August-Bier-Klinik Fachklinik für Neurologie, Neurotraumatologie und Rehabilitation",Diekseepromenade,7-11,23714,Bad Malente-Gremsmühlen,04523 405-182,s.bruehl@august-bier-klinik.de,www.august-bier-klinik.de/,2,Stiftung August-Bier-Klinik,6,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,
2,114,132,Fachklinik Hamburg-Mitte,Billhorner Deich,90i,20539,Hamburg,040 851735-0,info@jugendhilfe.de,www.jugendhilfe.de/fachklinik/,2,Jugendhilfe e.V.,6,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,
2,204,212,VAMED Klinik Geesthacht - Rehabilitation am Altonaer Krankenhaus,Bleickenallee,38,22763,Hamburg,,Tim.Werner2@vamed-gesundheit.de,www.vamed-gesundheit.de/reha/geesthacht/unsere-klinik/,3,VAMED Gesundheit Holding Deutschland GmbH,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,
2,205,216,Therapiezentrum Psychose und Sucht Hamburg,Holstenkamp,119,22525,Hamburg,040 8971-4719,tps.hamburg@sfo.hamburg,www.sfo.hamburg/,2,auxilar GmbH,7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,
2,402,403,RehaCentrum Hamburg,Martinistraße,66,20246,Hamburg,,controlling@klinikumbb.de,www.rehahamburg.de/,1,RehaCentrum Hamburg GmbH,6,98,,,,24.0,,,,,,,,,,,,,,,,,,,,27.0,,,,,47.0,,,,,,,,,,,,,,
2,408,423,Schön Klinik Hamburg Eilbek - Neurologische Rehabilitation,Dehnhaide,120,22081,Hamburg,040 2092-3165,ggruening@schoen-klinik.de,www.schoen-klinik.de/hamburg-eilbek/fachzentren-institute/,3,Schön Klinik Hamburg SE & Co. KG,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,
2,412,431,Rehabilitation Psychisch Kranker Hamburg,Soltstücken,6,22335,Hamburg,040 5939-0841,maike.langer@sfo.hamburg,www.sfo.hamburg/arbeitsfelder/,2,auxilar GmbH,6,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,
2,601,601,BG Klinikum Hamburg - Zentrum für Rehabilitation,Bergedorfer Straße,10,21033,Hamburg,040 7306-1337,j.busel@bgk-hamburg.de,www.bg-kliniken.de/klinikum-hamburg/fachbereiche/,2,BG Klinikum Hamburg gGmbH,7,90,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,
2,611,612,Come in-Therapiehilfe e.V.,Moorfleeter Deich,341,22113,Hamburg,040 200010-8010,mareike-kossatz@therapiehilfe.de,www.therapiehilfe.de/standorte/fachklinik_come-in/,2,Therapiehilfe gGmbH,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,
3,102,0,Fachklinik Erlengrund,Alte Heerstraße,63,38259,Salzgitter,05341/3004-0,fachklinik@lukas-werk.de,www.lukas-werk.de,2,Lukas-Werk Gesundheitsdienste GmbH,6,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,
3,151,7,Haus Niedersachsen gGmbH Fachklinik Oerrel,Feldstraße,5,29386,Dedelstorf,05832/82-0,Oerrel@haus-niedersachsen.de,www.haus-niedersachsen.de,2,Haus Niedersachsen gGmbH,6,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,
3,153,2,Herzog-Julius-Klinik,Kurhausstraße,13-17,38667,Bad Harzburg,01805/008542-0,info@herzog-julius-klinik.de,www.herzog-julius-klinik.de,3,Michels Kliniken Niedersachsen GmbH & CO. KG,6,190,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,,
3,153,2,Herzog-Julius-Klinik Fachklinik für geriatrische Rehabilitation,Kurhausstr.,14,38667,Bad Harzburg,05322/7900,info@herzog-julius-klinik.de,www.herzog-julius-klinik.de,3,Fachklinik für geriatrische Rehabilitation GmbH,6,72,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,153,2,Neurologisches Rehabilitations-zentrum Harz Barbarossa Klinik,Herzog-Julius-Straße,70-78,38667,Bad Harzburg,05322/790-600,info@barbarossa-klinik.de,www.barbarossa-klinik.de,3,NRZ Neurologisches Rehabilitationszentrum Harz GmbH,6,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,,,,,,,,
3,153,2,Vorsorge-Reha-Klinik Haus Daheim gGmbH Interdisziplinäres Therapiezentrum für Mutter und Kind,Burgstraße,35,38667,Bad Harzburg,05322/955-0,info@haus-daheim-kur.de,www.haus-daheim-kur.de,2,Vorsorge-Reha-Klinik Haus Daheim gGmbH Interdisziplinäres Therapiezentrum für Mutter und Kind,6,90,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,153,16,Mutter-Kind-Klinik Haus Waldmühle,An der Waldmühle,1,38700,Braunlage,05520/941-0,kontakt@caritasklinik-braunlage.de,www.caritasklinik-braunlage.de,2,Caritasverband für die Diözese Hildesheim e.V.,6,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,
3,153,18,AWO-Altenau Klinik,An der Silberhütte,1,38707,Altenau,05328/801-0,info@awo-altenau.de,www.awo-altenau.de,2,AWO Soziale Dienste Bezirk Hannover gGmbH,6,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,
3,153,18,Rehazentrum Oberharz Am Schwarzenbacher Teich,Schwarzenbacher Straße,19,38678,Clausthal-Zellerfeld,05323/712-0,info@rehazentrum-oberharz.de,www.rehazentrum-oberharz.de,1,Deutsche Rentenversicherung Braunschweig-Hannover,6,280,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,
3,155,1,Paracelsus Klinik am See,Dehneweg,6,37581,Bad Gandersheim,05382/939-0,klinik-am-see@paracelsus-kliniken.de,www.paracelsus-kliniken.de/klinik-am-see,3,Paracelsus-Kliniken Deutschland,6,200,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
