1.0,53.0,100.0,AMEOS Reha Klinikum Ratzeburg,Röpersberg,47,23909.0,Ratzeburg,04541 13-3800,info.reha@ratzeburg.ameos.de,www.ameos.de/reha-klinikum-ratzeburg/,3.0,AMEOS Krankenhausgesellschaft Südholstein mbH,6.0,321,,,,,,130.0,,,,,,,,,,,,,,,,,,,105.0,,,,,,,86.0,,,,,,,,,,,
1.0,54.0,14.0,Fachklinik Norderheide,Norderweg,1,25852.0,Bordelum,04671 4050,norderheide@ak-familienhilfe.de,www.ak-familienhilfe.de/unsere-fachkliniken/,2.0,Deutscher Arbeitskreis für Familienhilfe e.V.,6.0,270,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,54.0,20.0,DIAKO Nordfriesland gGmbH Fachklinik für Rehabilitation,Gammeltoft,8-15,25821.0,Breklum,04671 408 -0,info.nf@diako.de,www.diako-nf.de/unsere-angebote/fachklinik-fuer-rehabilitation,2.0,DIAKO Nordfriesland gGmbH,6.0,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,
1.0,54.0,85.0,Fachklinik Satteldüne für Kinder und Jugendliche der Deutschen Rentenversicherung Nord,Tanenwai,32,25946.0,Nebel/Amrum,04682 34-0,sattelduene@drv-nord.de,www.sattelduene.de,1.0,Deutsche Rentenversicherung Nord,6.0,165,,,,,,,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,54.0,89.0,AOK-Nordseeklinik - Fachklinik für Mutter und Kind,Strunwai,23,25946.0,Norddorf/Amrum,04682 370,info@aok-nordseeklinik.de,www.aok-nordseeklinik.de,3.0,REHASAN Mutter und Kind Klinik GmbH,6.0,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.0,,,,,
1.0,54.0,103.0,DRK-Zentrum für Gesundheit und Familie Dr. Gabriele Akkermann,Uthlandstraße,8,25849.0,Pellworm,04844 991-0,,www.mutter-vater-kind-kur.org/102/pellworm,2.0,DRK-Kur und Reha gGmbH,6.0,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,
1.0,54.0,113.0,BG Nordsee Reha-Klinik St. Peter-Ording,Wohldweg,7,25826.0,St. Peter-Ording,04863 494-0,info@bg-nrk.de,www.bg-kliniken.de/rehaklinik-st-peter-ording/,2.0,Reha-Klinik St.Peter-Ording gGmbH,6.0,239,,,,,,,,,,,,,,,,,,,,,,,,239.0,,,,,,,,,,,,,,,,,,,
1.0,54.0,113.0,DRK-Nordsee-Reha-Klinik Goldene Schlüssel,Im Bad,102,25826.0,St. Peter-Ording,04863 702-0,info-spo@drk-sh.de,www.drk-nordsee-reha-klinik.de,2.0,DRK-Landesverband Schleswig-Holstein e.V.,6.0,190,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,54.0,113.0,"Gesundheitsklinik ""Stadt Hamburg""",Im Bad,35,25826.0,St. Peter-Ording,04863 86-0,info@gesundheitsklinik.com,www.gesundheitsklinik.com,3.0,Gesundheitsklinik Stadt Hamburg GmbH,6.0,128,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,54.0,113.0,Hamm Klinik Nordfriesland,Wohldweg,9,25826.0,St. Peter-Ording,04863 401-0,nordfriesland@hamm-kliniken.de,www.hamm-kliniken.de/kliniken/klinik-nordfriesland,3.0,Hamm-Kliniken GmbH & Co. KG,6.0,195,,,,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,54.0,113.0,Strandklinik St. Peter Ording,Fritz-Wischer-Platz,3,25826.0,St. Peter-Ording,04863 706-01,info@strandklinik-spo.de,www.strandklinik-spo.de,3.0,Strandklinik St. Peter-Ording GmbH & Co. KG,6.0,300,,,,,,,,,,,,,,,100.0,,,,,,,,,65.0,,,,,,,,120.0,,,15.0,,,,,,,,
1.0,54.0,143.0,Reha-Zentrum Utersum auf Föhr,Uaster Jügem,1,25938.0,Utersum,04683 6-0,reha-klinik.utersum@drv-bund.de,www.utersum.deutsche-rentenversicherung-reha-zentren.de,1.0,Deutsche Rentenversicherung Bund,6.0,190,,,,,,95.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,54.0,160.0,DRK-Zentrum für Gesundheit und Familie Wittdün auf Amrum,Inselstraße,44+53,25946.0,Wittdün auf Amrum,04863 702-121,info-spo@drk-sh.de,www.mutter-vater-kind-kur.org,2.0,DRK-Kur und Reha gGmbH,6.0,107,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,54.0,164.0,Klinik Westfalen Reha-Klinik am Meer,Sandwall,25-27,25938.0,Wyk auf Föhr,04681 599-0,Verwaltung@Nordseeklinik.online,www.nordseeklinik-westfalen.de,3.0,Klinik Westfalen Betriebs GmbH,6.0,96,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1.0,54.0,168.0,Asklepios Nordseeklinik Sylt,Norderstraße,81,25980.0,Sylt  OT Westerland,04651 84-4422,geschaeftsfuehrung.sylt@asklepios.com,www.asklepios.com/sylt/reha/,3.0,Asklepios Nordseeklinik Westerland GmbH,6.0,290,,,,,,80.0,,,,,,,,,100.0,,,,,,,,,15.0,20.0,,,,,,,,,,75.0,,,,,,,,
1.0,54.0,168.0,Fachklinik Sylt für Kinder und Jugendliche,Steinmannstraße,52-54,25980.0,Sylt OT Westerwald,04651 852-0,fachklinik.sylt@drv-nord.de,www.fachklinik-sylt.de,1.0,Deutsche Rentenversicherung Nord,6.0,160,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,54.0,168.0,"Insel Klinik Sylt Präventions- und Rehabilitationseinrichtung für Mutter, Vater und Kind",Nordheding,10,25980.0,Sylt OT Westerland,04651 924-0,info@insel-klinik-sylt.de,www.insel-klinik-sylt.de,3.0,Klinik Sylt Betriebs GmbH,6.0,168,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,54.0,168.0,Louise-Schroeder-Haus Haus der Mutter-Kind-Kuren,Am Kliff,6,25980.0,Sylt OT Keitum,04364 492 300,mukikuren-kellenhusen@awo-sh.de,www.awo-mutter-kind.de/lsh,2.0,AWO Schleswig-Holstein gemeinnützige GmbH,6.0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,
1.0,55.0,4.0,Asklepios Klinik Am Kurpark Bad Schwartau,Am Kurpark,6-12,23611.0,Bad Schwartau,0451 2004-0,badschwartau@asklepios.com,www.asklepios.com/bad-schwartau/,3.0,Asklepios Reha-Klinik Bad Schwartau GmbH,6.0,282,,,,,,,,,,,,,,,,,,,,,,,,182.0,50.0,,,,,,,50.0,,,,,,,,,,,
1.0,55.0,10.0,Eltern-Kind-Fachklinik Seefrieden,Dahmeshöved,20,23747.0,Dahme,04364 47025-0,seefrieden@ak-familienhilfe.de,www.ak-familienhilfe.de/unsere-fachkliniken/,2.0,Deutscher Arbeitskreis für Familienhilfe e.V.,6.0,191,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,55.0,16.0,Klinik Ostseedeich GmbH,Deichweg,1,23743.0,Grömitz,04562 253-0,info@klinik-ostseedeich.de,www.klinik-ostseedeich.de,3.0,Klinik Ostseedeich GmbH & Co. KG,6.0,265,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,55.0,16.0,Ostseeklinik Grömitz Mutter und Kind,Blankenwasserweg,65,23743.0,Grömitz,04562 254-0,info@ostseeklinik-groemitz.de,www.ostseeklinik-groemitz.de,3.0,Rehasan Klinik Grömitz Betriebs GmbH,6.0,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0,,,,
1.0,55.0,17.0,Kurhaus Baltic,Orthfeld,,23775.0,Großenbrode,0231 5483-249,info@aw-kur.de,www.aw-kur.de/kurhaus-baltic,2.0,AW - Kur- und Erholungsgesellschaft mbH,6.0,124,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,55.0,17.0,Kurklinik Miramar Jäcker GmbH & Co. KG,Südstrand,5,23775.0,Großenbrode,04367 7180,info@kurklinikmiramar.de,www.kurklinikmiramar.de,3.0,Kurklinik Miramar Jäcker GmbH & Co. KG,6.0,145,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,55.0,25.0,Gertrud-Völcker-Haus Mutter-Kind-Kuren an der Ostsee,Am Ring,15,23746.0,Kellenhusen,04364 4923-00,mukikuren-kellenhusen@awo-sh.de,www.awo-mutter-kind.de/gvh,2.0,AWO Schleswig-Holstein gemeinnützige GmbH,6.0,88,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,55.0,28.0,"August-Bier-Klinik Fachklinik für Neurologie, Neurotraumatologie und Rehabilitation",Diekseepromenade,7-11,23714.0,Bad Malente-Gremsmühlen,04523 405-0,info@august-bier-klinik.de,www.august-bier-klinik.de,2.0,Stiftung August-Bier-Klinik,6.0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,
1.0,55.0,28.0,Curtius-Klinik Fachklinik für Psychosomatik und Psychotherapeutische Medizin,Neue Kampstraße,2,23714.0,Bad Malente-Gremsmühlen,04523 407-0,info@curtius-klinik.de,www.curtius-klinik.de/,3.0,Curtius-Klinik GmbH & Co. KG,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,
1.0,55.0,28.0,Mühlenbergklinik - Holsteinische Schweiz,Frahmsallee,1-7,23714.0,Bad Malente-Gremsmühlen,04523 993-0,,www.muehlenbergklinik-holsteinische-schweiz.de,1.0,Deutsche Rentenversicherung Nord,7.0,311,,,,121.0,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,,
1.0,55.0,28.0,Vital-Kliniken GmbH Klinik Buchenholm,Plöner Straße,20,23714.0,Bad Malente,04523 987-0,info.buchenholm@vital-kliniken.de,www.vital-kliniken.de/klinik-buchenholm/,3.0,Vital Kliniken GmbH,6.0,151,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,76.0,,,,,,,,,,,
1.0,55.0,32.0,Kurzentrum Soziales Genesungswerk Pelzerhaken Ostsee e.V.,Strandallee,1-3,23730.0,Neustadt in Holstein,04561 7107-0,info@kurzentrum-pelzerhaken.de,www.kurzentrumpelzerhaken.de,2.0,Kurzentrum Soziales Genesungswerk Pelzerhaken Ostsee e.V.,6.0,200,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,61.0,,,,,,,,122.0,,,,,
1.0,55.0,32.0,Schön Klinik Neustadt Rehabilitation,Am Kiebitzberg,10,23730.0,Neustadt in Holstein,04561 54-0,info@schoen-klinik.de,www.schoen-klinik.de/neustadt/fachzentren/orthopaedische-rehabilitation,3.0,Schön Klinik Neustadt SE & Co. KG,6.0,174,,,,,,,,,,,,,,,,,,,,,,,,174.0,,,,,,,,,,,,,,,,,,,
1.0,55.0,42.0,Caritas Westfalenhaus Vorsorge für Mutter und Kind,Travemünder Landstraße,1,23669.0,Timmendorfer-Strand,04503 8706-0,info-wh@caritas-im-norden.de,www.caritas-westfalenhaus.de,2.0,St. Anna - Caritas gGmbH,6.0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,
1.0,55.0,42.0,Curschmann-Klinik,Saunaring,6,23669.0,Timmendorfer Strand,04503 602-0,curschmann-klinik@drguth.de,www.curschmannklinik.de,3.0,Klinikgruppe Dr. Guth GmbH & Co. KG,6.0,139,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,55.0,42.0,Mutter-Kind-Kureinrichtungen Maria Meeresstern,Steiluferallee,1-4,23669.0,Timmendorfer Strand,04503 8904-0,info@maria-meeresstern.de,www.maria-meeresstern.de,2.0,Kongregation der Franziskanerinnen Thuine e. V.,6.0,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,,,,
1.0,55.0,46.0,Therapeutikum WestFehmarn,Wuhrt Ruhm,4,23769.0,Fehmarn,04372 808-0,office@twkg.de,www.therapeutikum-westfehmarn.de,3.0,COR Therapeutikum WestFehmarn GmbH & Co. KG,6.0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,
1.0,57.0,57.0,Caritashaus St. Walburg gGmbH Vorsorge und Rehabilitation für Mutter und Kind,Kieler Kamp,38,24306.0,Plön,04522 7670-0,info@st-walburg.de,www.st-walburg.de,2.0,Caritashaus St. Walburg gGmbH,6.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,
1.0,57.0,57.0,DRK Zentrum für Gesundheit und Familie Elly-Heuss-Knapp,Ölmühlenallee,6,24306.0,Plön,04522 804-250,info-spo@drk-sh.de,www.mutter-vater-kind-kur.org/121/ploen/unser-zentrum,2.0,DRK-Kur und Reha gGmbH,6.0,83,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,57.0,57.0,Fachklinik Freudenholm-Ruhleben Entwöhnung,Freudenholm,3,24211.0,Schellhorn,04342 789112,fachklinik@landesverein.de,www.landesverein.de/suchthilfe/fachklinik-freudenholm-ruhleben/,2.0,Landesverein für Innere Mission in Schleswig-Holstein,6.0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,
1.0,57.0,73.0,Ostseeklinik Holm Klinik für Rehabilitation und Prävention,An den Salzwiesen,1,24217.0,Schönberg,04344 37-0,info@ostseeklinik.com,www.ostseeklinik.com,3.0,Ostseeklinik Holm Reinhold Göttsch GmbH & Co. KG,6.0,330,,,,110.0,,,,,110.0,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,
1.0,58.0,9.0,Fachklinik Aukrug der Deutschen Rentenversicherung Nord,Tönsheide,,24613.0,Aukrug-Tönsheide,04873 9097-0,info@rehazentrum-aukrug.de,www.rehazentrum-aukrug.de,1.0,Deutsche Rentenversicherung Nord,6.0,221,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,126.0,,,,,,,,,,,
1.0,58.0,32.0,VAMED Rehaklinik Schloss Schönhagen,Schloßstraße,1,24398.0,Ostseebad Schönhagen,04644 90-0,info.rsh@vamed-gesundheit.de,www.vamed-gesundheit.de/reha/schoenhagen/,3.0,VAMED Rehaklinik Schloss Schönhagen GmbH,6.0,260,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,58.0,40.0,VAMED Rehaklinik Damp,Seute-Deern-Ring,30,24351.0,Damp,04352 80-8303,info.rda@vamed-gesundheit.de,www.vamed-gesundheit.de/reha/damp-rehaklinik/,3.0,VAMED Rehaklinik Damp GmbH,6.0,790,,,,105.0,35.0,,,,,,,,,,,,,,,,,,,434.0,,,,,156.0,,,60.0,,,,,,,,,,,
1.0,58.0,135.0,Reha-Zentrum für Hörgeschädigte GmbH,Paradeplatz,3,24768.0,Rendsburg,04331 5897-0,info@hoergeschaedigt.de,www.hoergeschaedigt.de,3.0,RZ Rehabilitationszentrum für Hörgeschädigte GmbH,6.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,
1.0,58.0,136.0,Therapiezentrum in Rickert GmbH & Co. KG,Dorfstraße,48,24782.0,Rickert,04331 346410,info@therapiezentrum-in-rickert.de,www.auvictum.de/einrichtungen/therapiezentrum-in-rickert/willkommen,3.0,Therapiezentrum in Rickert GmbH & Co. KG,7.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,
1.0,58.0,150.0,Klinik Schwedeneck,Kieler Straße,1,24229.0,Schwedeneck,04308 184-0,info@klinik-schwedeneck.de,www.klinik-schwedeneck.de,3.0,Klinik Schwedeneck GmbH & Co. Betriebs KG,6.0,180,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,60.0,4.0,Rheumaklinik Bad Bramstedt,Oskar-Alexander-Straße,26,24576.0,Bad Bramstedt,04192 90-0,info@klinikumbb.de,www.klinikumbadbramstedt.de,1.0,Klinikum Bad Bramstedt GmbH,6.0,500,,,,,,,,,,80.0,,,,,,,,,,,,,,290.0,,,,,130.0,,,,,,,,,,,,,,
1.0,60.0,4.0,Schön Klinik Bad Bramstedt,Birkenweg,10,24576.0,Bad Bramstedt,04192 504-7600,info@schoen-klinik.de,www.schoen-klinik.de/bad-bramstedt/klinik/rehabilitation,3.0,Schön Klinik Bad Bramstedt GmbH,6.0,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,,,,,,,,,,,
1.0,60.0,5.0,Segeberger Kliniken GmbH,Am Kurpark,1,23795.0,Bad Segeberg,04551 802-0,info@segebergerkliniken.de,www.segebergerkliniken.de/rehabilitation/psychosomatische-rehabilitation/,3.0,Segeberger Kliniken GmbH,6.0,510,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,180.0,,,,,,,,,,,
1.0,62.0,4.0,Asklepios Rehaklinik Bad Oldesloe,Schützenstraße,55,23843.0,Bad Oldesloe,04531 681011,rehaklinik-badoldesloe@asklepios.com,www.asklepios.com/reha-bad-oldesloe/,3.0,Asklepios Rehaklinik Bad Oldesloe GmbH,6.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,
1.0,62.0,23.0,Klinik Manhagen,Sieker Landstraße,19,22927.0,Großhansdorf,04102 605-0,info@manhagen.de,www.manhagen.de,3.0,Klinik Manhagen GmbH & Co. KG,6.0,25,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,
2.0,114.0,132.0,Fachklinik Hamburg-Mitte,Billhorner Deich,90i,20539.0,Hamburg,040 570025-250,fachklinik@jugendhilfe.de,www.jugendhilfe.de/fachklinik/,2.0,Jugendhilfe e.V.,6.0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,
2.0,204.0,212.0,VAMED Klinik Geesthacht - Rehabilitation am Altonaer Krankenhaus,Bleickenallee,38,22763.0,Hamburg,04152 918-0,info.geesthacht@vamed-gesundheit.de,www.vamed-gesundheit.de/reha/altona/,3.0,VAMED Gesundheit Holding Deutschland GmbH,6.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,
2.0,205.0,216.0,Therapiezentrum Psychose und Sucht Hamburg,Holstenkamp,119,22525.0,Hamburg,040 897147-0,tps.hamburg@sfo.hamburg,www.sf.hamburg/unsere-angebote/tps-therapiezentrum-fuer-psychose-und-sucht/,2.0,auxilar GmbH,7.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,
2.0,402.0,403.0,RehaCentrum Hamburg,Martinistraße,66,20246.0,Hamburg,04192 90-0,info@klinikumbb.de,www.rehahamburg.de/,1.0,RehaCentrum Hamburg GmbH,6.0,98,,,,3.0,,,,,,,,,,,,,,,,,,,,39.0,,,,,56.0,,,,,,,,,,,,,,
2.0,408.0,423.0,Schön Klinik Hamburg Eilbek - Neurologische Rehabilitation,Dehnhaide,120,22081.0,Hamburg,040 2092-0,info@schoen-klinik.de,www.schoen-klinik.de/hamburg-eilbek/fachzentren/neurologie,3.0,Schön Klinik Hamburg SE & Co. KG,6.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,
2.0,412.0,431.0,Rehabilitation Psychisch Kranker Hamburg,Soltstücken,6,22335.0,Hamburg,040 593908-0,rpk.hamburg@sf.hamburg,www.sf.hamburg/unsere-angebote/rpk-hamburg/,2.0,auxilar GmbH,6.0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,
2.0,601.0,601.0,BG Klinikum Hamburg - Zentrum für Rehabilitation,Bergedorfer Straße,10,21033.0,Hamburg,040 7306-0,mail@bgk-hamburg.de,www.bg-kliniken.de/klinikum-hamburg/fachbereiche/,2.0,BG Klinikum Hamburg gGmbH,7.0,90,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,
2.0,611.0,612.0,Come in-Therapiehilfe e.V.,Moorfleeter Deich,341,22113.0,Hamburg,040 20001080-00,come-in@therapiehilfe.de,www.therapiehilfe.de/standorte/fachklinik_come-in/,2.0,Therapiehilfe gGmbH,6.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,
3.0,102.0,0.0,Fachklinik Erlengrund,Alte Heerstraße,63,38259.0,Salzgitter,05341 3004-0,fachklinik@lukas-werk.de,www.lukas-werk.de,2.0,Lukas-Werk Gesundheitsdienste GmbH,6.0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,
3.0,151.0,7.0,Haus Niedersachsen gGmbH Fachklinik Oerrel,Feldstraße,5,29386.0,Dedelstorf,05832 82-0,Oerrel@haus-niedersachsen.de,www.haus-niedersachsen.de,2.0,Haus Niedersachsen gGmbH,6.0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,
3.0,153.0,2.0,Herzog-Julius-Klinik,Kurhausstraße,13-17,38667.0,Bad Harzburg,05322 790-0,info@herzog-julius-klinik.de,www.herzog-julius-klinik.de,3.0,Michels Kliniken Niedersachsen GmbH & CO. KG,6.0,190,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,,
3.0,153.0,2.0,Herzog-Julius-Klinik Fachklinik für geriatrische Rehabilitation,Kurhausstr.,14,38667.0,Bad Harzburg,05322 790-0,info@herzog-julius-klinik.de,www.herzog-julius-klinik.de,3.0,Fachklinik für geriatrische Rehabilitation GmbH,6.0,72,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,153.0,2.0,Neurologisches Rehabilitationszentrum Harz Barbarossa Klinik,Herzog-Julius-Straße,70-78,38667.0,Bad Harzburg,05322 790-600,info@barbarossa-klinik.de,www.barbarossa-klinik.de,3.0,NRZ Neurologisches Rehabilitationszentrum Harz GmbH,6.0,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,
3.0,153.0,2.0,Vorsorge-Reha-Klinik Haus Daheim gGmbH Interdisziplinäres Therapiezentrum für Mutter und Kind,Burgstraße,35,38667.0,Bad Harzburg,05322 955-0,info@haus-daheim-kur.de,www.haus-daheim-kur.de,2.0,Vorsorge-Reha-Klinik Haus Daheim gGmbH Interdisziplinäres Therapiezentrum für Mutter und Kind,6.0,90,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,153.0,16.0,Mutter-Kind-Klinik Haus Waldmühle,An der Waldmühle,1,38700.0,Braunlage,05520 941-0,kontakt@caritasklinik-braunlage.de,www.caritasklinik-braunlage.de,2.0,Caritasverband für die Diözese Hildesheim e.V.,6.0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,
3.0,153.0,18.0,AWO-Altenau Klinik,An der Silberhütte,1,38707.0,Altenau,05328 801-0,info@awo-altenau.de,www.awo-altenau.de,2.0,AWO Soziale Dienste Bezirk Hannover gGmbH,6.0,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,
