1,2,0,DermaKiel- Tagesklinik für Allergie und Hautkrankheiten,DermaKiel - Tagesklinik für Allergie und Hautkrankheiten,Schönberger Straße,72-74,24148,Kiel,0431 72972020,dermakiel@gmx.de,www.dermakiel.de/,3,Medizinisches Versorgungszentrum DermaKiel GmbH,3,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,DIAKO Nordfriesland gGmbH- Fachklinik für Psychiatrie und Psychosomatik,Amb. Behandlung Fachambulanz Kiel,Boninstraße,27a,24114,Kiel,,wienerbu@diako.de,www.diako-nf.de/,2,DIAKO Nordfriesland gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,Helios Klinik Kiel,Helios Klinik Kiel,Hamburger Chaussee,77,24113,Kiel,0431 7206307,Martin.Pyrozok@helios-gesundheit.de,www.helios-gesundheit.de/kliniken/kiel/,3,HELIOS Klinik Kiel GmbH,2,0,2,2,2,2,2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,4.0,,,,,,,,,,,,6.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,Klinik Flechsig GmbH,Klinik Flechsig GmbH,Chemnitzstraße,33,24116,Kiel,0431 3397143,ahrens@klinik-flechsig.de,www.klinik-flechsig.de/,3,Klinik Flechsig GmbH,2,0,2,2,2,2,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,Kopfcentrum,Kopfcentrum,Am Germaniahafen,4,24143,Kiel,,look@kopfcentrum.de,www.kopfcentrum.de/operations-centrum-am-germaniahafen/,3,Kopfcentrum Management GmbH,4,0,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,Kosmed-Klinik,Kosmed Klinik,Eckernförder Straße,219,24119,Kiel,,,www.kosmed-klinik.de/willkommen.html,3,Kosmed-Klinik GmbH,4,0,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,Lubinus-Stiftung,Sankt Elisabeth Krankenhaus Kiel,Königsweg,8,24103,Kiel,0431 82238,E.Petersen@lubinus-stiftung.de,www.lubinus-stiftung.de/,2,Lubinus Stiftung,2,0,2,2,2,2,2,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,Lubinus-Stiftung,Lubinus Clinicum,Steenbeker Weg,25,24106,Kiel,0431 82238,E.Petersen@lubinus-stiftung.de,www.lubinus-stiftung.de/,2,Lubinus Stiftung,2,0,2,2,1,2,2,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,nordBLICK Augenklinik Bellevue GmbH,nordBLICK Augenklinik Bellevue GmbH,Lindenallee,21-23,24105,Kiel,0431 301084130,j.sterna@nordblick.de,www.nordblick.de/home.html,3,nordBLICK Augenklinik Bellevue GmbH,2,0,2,2,2,2,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,Park-Klinik GmbH Kiel,Park-Klinik GmbH Kiel,Goethestraße,11,24116,Kiel,0431 5909110,j.bauer@park-klinik.de,www.park-klinik-kiel.de/,3,Park-Klinik GmbH,2,0,2,2,2,2,2,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,Psychiatrische Tagesklinik Kieler Fenster,Psychiatrische Tagesklinik Kieler Fenster,Alte Lübecker Chaussee,1,24114,Kiel,0431 6498016,k.maresch@kieler-fenster.de,www.kieler-fenster.de/,2,Verein zur Förderung sozialpädagogischer Initiativen e.V.,4,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,Schmerzklinik Kiel GmbH & Co. KG,Schmerzklinik Kiel GmbH & Co. KG,Heikendorfer Weg,9-27,24149,Kiel,,hg@schmerzklinik.de,schmerzklinik.de/,3,Schmerzklinik Kiel GmbH & Co. KG,2,0,2,2,2,2,2,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,,,,,
1,2,0,Städtisches Krankenhaus Kiel GmbH,Städtisches Krankenhaus Kiel GmbH,Chemnitzstraße,33,24116,Kiel,,nicole.schroeder@krankenhaus-kiel.de,www.krankenhaus-kiel.de/,1,Städtisches Krankenhaus Kiel GmbH,2,2,2,2,2,2,2,598,18.0,,97.0,,51.0,,62.0,29.0,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,10.0,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,4.0,,,,,,,,8.0,,,,,,19.0,,,,,29.0,,
1,2,0,Universitätsklinikum Schleswig-Holstein,Universitätsklinikum Schleswig-Holstein Campus Kiel,Arnold-Heller-Straße,3,24105,Kiel,,christian.wenn@uksh.de,www.uksh.de/,1,Universitätsklinikum Schleswig-Holstein,1,3,1,1,1,1,1,989,108.0,,,,,,,,,,,,,,,,,,,,97.0,24.0,,,80.0,,,,,,,,,,,2.0,,27.0,,9.0,,,,,,,7.0,,,23.0,,,4.0,,,56.0,,,,,,,,,,60.0,55.0,,9.0,,,,,64.0,,,,,33.0,,,,,22.0,,,,,32.0,32.0,36.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,28.0,,,58.0,,,29.0,7.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
1,2,0,Zentrum für Integrative Psychiatrie ZIP gGmbH- Campus Kiel,Zentrum für Integrative Psychiatrie Kiel - Niemannsweg Klaus-Groth-Platz,Niemannsweg,147,24105,Kiel,,Marlies.Buhs@uksh.de,zip.uksh.de/,1,Zentrum für Integrative Psychiatrie ZIP gGmbH,2,0,2,2,2,2,2,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,,,,,,,,,,,,,41.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,Zentrum für Integrative Psychiatrie ZIP gGmbH- Campus Kiel,Zentrum für Integrative Psychiatrie Kiel - Ostufer,Karlstal,34a,24143,Kiel,,Marlies.Buhs@uksh.de,zip.uksh.de/,1,Zentrum für Integrative Psychiatrie ZIP gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,"AMEOS Klinika Neustadt, Lübeck und Eutin",AMEOS Klinikum Lübeck,Kahlhorststraße,33,23562,Lübeck,,lgah.verw@neustadt.ameos.de,www.ameos.eu/standorte/ameos-nord/,3,AMEOS Krankenhausgesellschaft Holstein mbH,2,0,2,2,2,2,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,"AMEOS Klinika Neustadt, Lübeck und Eutin",AMEOS Tagesklinik Lübeck,Krempelsdorfer Allee,65,23556,Lübeck,,lgah.verw@neustadt.ameos.de,www.ameos.eu/standorte/ameos-nord/,3,AMEOS Krankenhausgesellschaft Holstein mbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,"AMEOS Klinika Neustadt, Lübeck und Eutin",Psychiatrische Institutsambulanz,Krempelsdorfer Allee,65,23556,Lübeck,,lgah.verw@neustadt.ameos.de,www.ameos.eu/standorte/ameos-nord/,3,AMEOS Krankenhausgesellschaft Holstein mbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,AMEOS Klinikum Lübeck,AMEOS Klinikum Lübeck,Weidenweg,9,23562,Lübeck,,jmer.verw@neustadt.ameos.de,www.ameos.eu/standorte/ameos-nord/luebeck/,3,AMEOS Klinika Lübeck GmbH,2,0,2,2,2,2,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,Augenklinik am Klingenberg,Augenklinik am Klingenberg,Marlesgrube,1,23552,Lübeck,0451 864848,peterhiss@gmx.de,www.augenklinik-am-klingenberg.de/,3,Dr. med. Peter Hiss,4,0,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,Hanse-Klinik GmbH,Hanse-Klinik GmbH,St.-Jürgen Ring,66,23564,Lübeck,,info@hanse-klinik.de,www.hanse-klinik.de/de,3,Hanse-Klinik GmbH,4,0,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,Holstentor-Privatklinik für Ästhetisch-Plastische Chirurgie,Holstentor-Privatklinik für Ästhetisch-Plastische Chirurgie,Untertrave,,23552,Lübeck,,info@dr-valina.de,plastische-chirurgie-luebeck.de/,3,Holstentor Privatklinik GmbH,4,0,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,Katholisches Marien-Krankenhaus Lübeck gGmbH,Katholisches Marien-Krankenhaus Lübeck gGmbH,Parade,3,23552,Lübeck,,wehde@marien-krankenhaus.de,www.marien-krankenhaus.de/,2,Katholisches Marien-Krankenhaus Lübeck gemeinnützige GmbH,2,0,2,2,1,2,2,106,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,19.0,50.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum-,Krankenhaus Rotes Kreuz Lübeck - Haus an der Wakenitz,Marlistraße,10,23566,Lübeck,0451 98902454,henze@geriatrie-luebeck.de,www.geriatrie-luebeck.de/,3,DRK-Therapiezentrum Marli GmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum-,Krankenhaus Rotes Kreuz Lübeck - Haus am Stadtpark,Rabenhorst,1,23568,Lübeck,0451 98902454,henze@geriatrie-luebeck.de,www.geriatrie-luebeck.de/,3,DRK-Therapiezentrum Marli GmbH,2,0,2,2,2,2,2,113,,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,Krankenhaus Rotes Kreuz Lübeck -Geriatriezentrum-,Krankenhaus Rotes Kreuz Lübeck - EGH II,Erika-Gerstung-Straße,1,23568,Lübeck,0451 98902454,henze@geriatrie-luebeck.de,www.geriatrie-luebeck.de/,3,DRK-Therapiezentrum Marli GmbH,2,0,2,2,2,2,2,81,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,Sana Kliniken Lübeck GmbH,Sana Klinik Lübeck Süd,Kronsforder Allee,71-73,23560,Lübeck,0451 585-1223,florian.lanisnik@sana.de,www.sana.de/luebeck,3,Sana Kliniken Lübeck GmbH,2,2,2,2,2,2,2,400,89.0,,77.0,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,63.0,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,
1,3,0,Sana Kliniken Lübeck GmbH,Sana Praxisklinik Travemünde,Am Dreilingsberg,7,23570,Lübeck,0451 585-1223,florian.lanisnik@sana.de,www.sana.de/luebeck,3,Sana Kliniken Lübeck GmbH,2,2,2,2,2,2,2,27,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,Tagesklinik für Psychiatrie und Psychotherapie der BRÜCKE,Tagesklinik für Psychiatrie und Psychotherapie der BRÜCKE Lübeck und Ostholstein gGmbH,Spillerstraße,2a-b,23564,Lübeck,,controlling@die-bruecke.de,www.diebruecke-luebeck.de/behandlung-reha/tagesklinik/,2,Die Brücke Lübeck und Ostholstein - Gemeinnützige Therapeutische Einrichtungen GmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,Universitätsklinikum Schleswig-Holstein,Universitätsklinikum Schleswig-Holstein Campus Lübeck,Ratzeburger Allee,160,23562,Lübeck,,christian.wenn@uksh.de,www.uksh.de/,1,Universitätsklinikum Schleswig-Holstein,1,3,1,1,1,1,1,988,88.0,,,,,,,,,,,,21.0,,,,,,,,101.0,,,,35.0,,,,,,,,,,62.0,15.0,,78.0,,,,,,,,,,,,,,,14.0,,,107.0,,,,,,,,,,61.0,40.0,,37.0,,,,,30.0,,,,,23.0,16.0,,,,24.0,,,,,31.0,37.0,27.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,45.0,,,17.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
1,3,0,"Vorwerker Fachklinik für Kinder- und Jugendpsychiatrie, -psychotherapie und -psychosomatik",Fachklinik für Kinder- und Jugendpsychiatrie,Triftstraße,139,23554,Lübeck,0451 4002 50758,barbara.gaworzynska@vorwerker-diakonie.de,www.vorwerker-diakonie.de/kinder/kinder-und-jugendpsychiatrie/,2,Vorwerker Diakonie gGmbH,2,0,2,2,2,2,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,0,"Vorwerker Fachklinik für Kinder- und Jugendpsychiatrie, -psychotherapie und -psychosomatik",Institutsambulanz Lübeck,Fünfhausen,1,23552,Lübeck,0451 4002 50758,barbara.gaworzynska@vorwerker-diakonie.de,www.vorwerker-diakonie.de/kinder/kinder-und-jugendpsychiatrie/,2,Vorwerker Diakonie gGmbH,2,0,2,2,2,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
