Altersjahre,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen,Insgesamt
14-Jährige,116614.0,131395.0,25999.0,17916.0,5949.0,15073.0,61766.0,11083.0,87877.0,190953.0,42446.0,10151.0,26406.0,15130.0,31070.0,14743.0,804571.0
15-Jährige,114999.0,129184.0,25126.0,16463.0,5953.0,14291.0,59945.0,9986.0,85665.0,186878.0,41647.0,9808.0,23710.0,13927.0,29909.0,13578.0,781069.0
16-Jährige,116329.0,131973.0,25313.0,15744.0,5881.0,15025.0,61085.0,9354.0,87497.0,191993.0,42933.0,10307.0,22956.0,13641.0,30204.0,12633.0,792868.0
17-Jährige,120798.0,138924.0,25925.0,15538.0,6181.0,15385.0,63038.0,9849.0,91201.0,200910.0,45159.0,10884.0,23568.0,13991.0,31133.0,13267.0,825751.0
18-Jährige,123192.0,140910.0,27784.0,16744.0,6574.0,16126.0,64161.0,10990.0,92196.0,206823.0,46239.0,11272.0,25426.0,15531.0,31719.0,14494.0,850181.0
19-Jährige,127582.0,145394.0,30749.0,19691.0,7299.0,17407.0,66056.0,13096.0,92846.0,212368.0,47427.0,11572.0,31225.0,18335.0,32412.0,17066.0,890525.0
20-Jährige,133994.0,153746.0,39965.0,28741.0,8228.0,20022.0,69988.0,20584.0,95105.0,218915.0,49353.0,12116.0,48401.0,28348.0,33198.0,26395.0,987099.0
21-Jährige,131108.0,151372.0,44019.0,29907.0,8733.0,21221.0,70093.0,21708.0,91827.0,214280.0,48286.0,11745.0,51711.0,29540.0,32035.0,27749.0,985334.0
22-Jährige,135298.0,155926.0,48019.0,30770.0,9441.0,23637.0,72163.0,22396.0,93876.0,220067.0,49914.0,12011.0,53721.0,30717.0,32520.0,29543.0,1020019.0
23-Jährige,130639.0,152138.0,50458.0,30353.0,9437.0,24145.0,70879.0,22938.0,90978.0,216468.0,48508.0,11939.0,55475.0,30718.0,31286.0,29947.0,1006306.0
24-Jährige,131157.0,153554.0,51951.0,28929.0,9384.0,25021.0,70576.0,21535.0,89332.0,213829.0,47648.0,12031.0,53697.0,29225.0,30532.0,28832.0,997233.0
25-Jährige,127411.0,148966.0,52997.0,29007.0,8969.0,25833.0,68982.0,21333.0,85919.0,205829.0,45071.0,11362.0,54052.0,28694.0,29140.0,28331.0,971896.0
26-Jährige,128237.0,150586.0,54043.0,27711.0,9031.0,26694.0,70532.0,20497.0,84988.0,205956.0,45269.0,11355.0,53307.0,28300.0,28972.0,28141.0,973619.0
27-Jährige,129909.0,152704.0,55100.0,27640.0,9258.0,28089.0,71195.0,20388.0,86252.0,208276.0,44918.0,11498.0,53394.0,28021.0,29319.0,27705.0,983666.0
28-Jährige,133852.0,157619.0,57365.0,28130.0,9336.0,29507.0,74719.0,20353.0,88709.0,213969.0,46353.0,11774.0,54024.0,27444.0,30222.0,28356.0,1011732.0
29-Jährige,134201.0,159125.0,57509.0,27722.0,9235.0,30452.0,75240.0,19569.0,88821.0,212943.0,46096.0,11667.0,52138.0,27063.0,30456.0,27436.0,1009673.0
30-Jährige,135632.0,159783.0,57896.0,28773.0,8955.0,30758.0,76202.0,20233.0,89725.0,214535.0,45583.0,11757.0,53258.0,27163.0,30878.0,27968.0,1019099.0
31-Jährige,128338.0,152722.0,54495.0,28017.0,8403.0,29100.0,73173.0,19399.0,86210.0,203367.0,43756.0,11020.0,51549.0,25743.0,29481.0,26895.0,971668.0
32-Jährige,125704.0,150937.0,52535.0,28201.0,8183.0,28464.0,72636.0,19432.0,85727.0,201196.0,43180.0,10747.0,51308.0,25760.0,29898.0,25756.0,959664.0
33-Jährige,125810.0,150280.0,50828.0,27503.0,7992.0,27974.0,72060.0,18902.0,85465.0,201852.0,42842.0,10659.0,50068.0,24723.0,30064.0,25335.0,952357.0
34-Jährige,127043.0,149871.0,49075.0,25165.0,8014.0,28025.0,72774.0,16358.0,86867.0,203612.0,42714.0,10374.0,44444.0,22269.0,30505.0,22668.0,939778.0
35-Jährige,124662.0,147317.0,46796.0,24261.0,7786.0,26900.0,71295.0,15560.0,85333.0,198882.0,42217.0,10201.0,42340.0,21153.0,30141.0,21748.0,916592.0
36-Jährige,128075.0,150759.0,45534.0,24553.0,7760.0,26182.0,72494.0,15311.0,87949.0,202154.0,43167.0,10425.0,41898.0,21420.0,30950.0,22547.0,931178.0
37-Jährige,128599.0,150765.0,44333.0,25130.0,7869.0,25260.0,73332.0,15847.0,90213.0,205283.0,44403.0,10411.0,42507.0,22617.0,31819.0,23345.0,941733.0
38-Jährige,141067.0,165331.0,46022.0,28424.0,8451.0,26755.0,79655.0,17332.0,100247.0,226002.0,48948.0,11517.0,46837.0,26092.0,35645.0,26227.0,1034552.0
39-Jährige,152996.0,179457.0,50899.0,33623.0,8978.0,28178.0,87166.0,20490.0,110112.0,247005.0,53807.0,12899.0,55429.0,31423.0,40404.0,29923.0,1142789.0
40-Jährige,159900.0,188363.0,51759.0,34995.0,9337.0,28665.0,91248.0,21298.0,117200.0,260723.0,56985.0,13322.0,56034.0,32026.0,42971.0,31048.0,1195874.0
41-Jährige,172109.0,203839.0,53955.0,36761.0,9940.0,30057.0,97945.0,22140.0,127117.0,285256.0,62044.0,15018.0,56366.0,33296.0,47542.0,31697.0,1285082.0
42-Jährige,181125.0,212754.0,56291.0,38782.0,10641.0,32044.0,103067.0,23678.0,133555.0,298635.0,65138.0,15889.0,57897.0,34291.0,50571.0,32173.0,1346531.0
43-Jährige,185192.0,217827.0,57229.0,41510.0,10611.0,32093.0,104600.0,25004.0,137081.0,305571.0,66853.0,16520.0,59933.0,35749.0,52226.0,33273.0,1381272.0
44-Jährige,189514.0,220414.0,60003.0,44494.0,11033.0,32277.0,107463.0,27060.0,139947.0,311918.0,68838.0,17063.0,63434.0,37497.0,52090.0,35771.0,1418816.0
45-Jährige,189153.0,219335.0,62101.0,46762.0,10878.0,31267.0,107935.0,28808.0,138688.0,312342.0,69335.0,17470.0,66284.0,39292.0,50915.0,36965.0,1427530.0
46-Jährige,192117.0,222202.0,63298.0,48705.0,10723.0,31717.0,108875.0,30235.0,138881.0,316350.0,70721.0,17985.0,69133.0,41091.0,51077.0,39041.0,1452151.0
47-Jährige,189486.0,219993.0,62851.0,50550.0,10319.0,30244.0,108027.0,31549.0,137918.0,311100.0,71056.0,18154.0,69961.0,42688.0,49447.0,39966.0,1443309.0
48-Jährige,183658.0,213330.0,59621.0,50226.0,10308.0,27998.0,103514.0,31512.0,133264.0,299476.0,68984.0,17857.0,68962.0,42045.0,47547.0,39650.0,1397952.0
49-Jährige,180546.0,210326.0,56523.0,49577.0,9919.0,26452.0,100754.0,31846.0,131471.0,294372.0,68776.0,18104.0,68893.0,42136.0,46371.0,40717.0,1376783.0
50-Jährige,175114.0,202193.0,53867.0,47944.0,9754.0,26409.0,98345.0,31229.0,127630.0,290213.0,67491.0,17458.0,66022.0,40744.0,44282.0,38820.0,1337515.0
51-Jährige,167359.0,195355.0,51522.0,46756.0,9536.0,24562.0,94559.0,30471.0,123077.0,281109.0,65367.0,17691.0,65549.0,40038.0,42825.0,38802.0,1294578.0
52-Jährige,159770.0,186307.0,47378.0,42963.0,9246.0,23475.0,90437.0,28811.0,116469.0,268770.0,62004.0,17160.0,60651.0,37694.0,40396.0,36102.0,1227633.0
53-Jährige,155134.0,180750.0,45422.0,41808.0,9161.0,22415.0,88500.0,28078.0,114466.0,263457.0,61787.0,16582.0,60434.0,37246.0,39612.0,36056.0,1200908.0
54-Jährige,151833.0,174283.0,44476.0,41599.0,8907.0,21279.0,85504.0,28270.0,110439.0,254747.0,59426.0,16140.0,61471.0,37691.0,37499.0,36777.0,1170341.0
55-Jährige,143715.0,164988.0,44055.0,42057.0,8778.0,20526.0,82059.0,28403.0,106290.0,245150.0,57661.0,15381.0,63578.0,38716.0,36508.0,37011.0,1134876.0
56-Jährige,139305.0,161740.0,43347.0,41378.0,8486.0,19682.0,80390.0,28302.0,104545.0,241286.0,56980.0,15484.0,63078.0,38071.0,36387.0,36444.0,1114905.0
57-Jährige,134037.0,155692.0,42763.0,40813.0,8186.0,18810.0,77359.0,27742.0,100738.0,229531.0,55168.0,15138.0,63540.0,38202.0,35002.0,36367.0,1079088.0
58-Jährige,134458.0,156652.0,42035.0,39784.0,8211.0,19083.0,78057.0,26959.0,102115.0,228672.0,55033.0,14850.0,64483.0,38038.0,35139.0,35790.0,1079359.0
59-Jährige,130147.0,151959.0,42710.0,38586.0,8245.0,18805.0,76760.0,25999.0,100718.0,220382.0,53849.0,14455.0,66055.0,36338.0,35025.0,35754.0,1055787.0
60-Jährige,131329.0,154092.0,44535.0,36469.0,8305.0,19628.0,78822.0,24233.0,101677.0,221927.0,54502.0,14812.0,63263.0,35768.0,35641.0,34003.0,1059006.0
61-Jährige,128390.0,150015.0,41603.0,30883.0,8397.0,19367.0,78122.0,20898.0,100280.0,219890.0,53075.0,15039.0,55496.0,31871.0,35556.0,30277.0,1019159.0
62-Jährige,119215.0,143610.0,38238.0,26600.0,7797.0,18997.0,73454.0,18268.0,93147.0,202126.0,45882.0,13128.0,44466.0,26995.0,35035.0,26279.0,933237.0
63-Jährige,110907.0,140602.0,35741.0,25500.0,7483.0,18088.0,68710.0,17052.0,85218.0,186086.0,40828.0,10629.0,44474.0,26299.0,32856.0,24965.0,875438.0
64-Jährige,96994.0,124192.0,28085.0,17281.0,7332.0,16816.0,58922.0,11248.0,79974.0,170302.0,36512.0,8665.0,33441.0,21409.0,30744.0,20680.0,762597.0
65-Jährige,83812.0,100563.0,31480.0,20463.0,5945.0,15099.0,49232.0,12147.0,63354.0,144665.0,30754.0,8030.0,39574.0,21638.0,25574.0,19404.0,671734.0
66-Jährige,108111.0,129316.0,41314.0,30531.0,7478.0,18785.0,65565.0,18193.0,84389.0,185287.0,40125.0,10911.0,57423.0,30310.0,33770.0,28158.0,889666.0
67-Jährige,109119.0,129300.0,42900.0,32788.0,7702.0,18806.0,64749.0,19758.0,87136.0,185672.0,39947.0,10572.0,56659.0,31236.0,35086.0,28354.0,899784.0
68-Jährige,107275.0,125574.0,40790.0,31656.0,7618.0,18452.0,61506.0,19186.0,84899.0,181387.0,39097.0,10440.0,52397.0,30928.0,33896.0,26529.0,871630.0
69-Jährige,128146.0,152003.0,46789.0,39289.0,8492.0,20891.0,73543.0,24451.0,102523.0,214226.0,48358.0,13287.0,65031.0,37572.0,40578.0,33918.0,1049097.0
70-Jährige,133499.0,161018.0,44744.0,39264.0,8823.0,21234.0,78365.0,24735.0,106629.0,230211.0,52381.0,13886.0,66563.0,38471.0,40788.0,36287.0,1096898.0
71-Jährige,130700.0,157190.0,41370.0,37918.0,8459.0,20075.0,75379.0,24808.0,103772.0,223853.0,51170.0,14068.0,64762.0,37206.0,40041.0,35122.0,1065893.0
72-Jährige,121142.0,141546.0,37991.0,34736.0,8149.0,19028.0,68630.0,23048.0,98318.0,210663.0,47591.0,13069.0,58645.0,33261.0,37332.0,30492.0,983641.0
73-Jährige,111569.0,128032.0,35584.0,31715.0,7616.0,17680.0,63576.0,20779.0,89450.0,196343.0,44207.0,12829.0,53139.0,30802.0,33916.0,27681.0,904918.0
74-Jährige,106635.0,121347.0,33413.0,30465.0,7295.0,16907.0,61000.0,20013.0,84628.0,187655.0,42890.0,12707.0,51518.0,29397.0,31751.0,26651.0,864272.0
75-Jährige,100161.0,112980.0,31931.0,29257.0,6659.0,16154.0,57110.0,19031.0,79217.0,178259.0,40136.0,11262.0,50420.0,27944.0,29457.0,25240.0,815218.0
76-Jährige,89195.0,103830.0,28969.0,26309.0,6005.0,13816.0,51998.0,17499.0,71276.0,164036.0,36431.0,9692.0,45666.0,25528.0,26188.0,22974.0,739412.0
77-Jährige,73441.0,85739.0,20310.0,19736.0,4495.0,10504.0,40751.0,13758.0,54646.0,126486.0,28990.0,8186.0,34891.0,19947.0,19206.0,17680.0,578766.0
78-Jährige,70348.0,82488.0,18498.0,18890.0,4459.0,9899.0,38959.0,13363.0,53357.0,123413.0,28251.0,8200.0,33292.0,19223.0,18148.0,17296.0,558084.0
79-Jährige,69013.0,81364.0,18306.0,18138.0,4292.0,9971.0,38486.0,12482.0,52832.0,121215.0,28005.0,8006.0,33447.0,18667.0,17802.0,16585.0,548611.0
80-Jährige,69082.0,79692.0,18432.0,18111.0,4370.0,10241.0,39538.0,12066.0,53534.0,124365.0,28239.0,7737.0,34771.0,18698.0,17752.0,17141.0,553769.0
81-Jährige,63653.0,74806.0,17023.0,16152.0,4211.0,9574.0,36904.0,10752.0,49082.0,114099.0,26274.0,7147.0,32681.0,17013.0,16668.0,15503.0,511542.0
82-Jährige,60183.0,69688.0,15598.0,14533.0,4091.0,9298.0,34833.0,9589.0,47021.0,107740.0,24960.0,6685.0,29517.0,15908.0,16053.0,14575.0,480272.0
83-Jährige,52611.0,63378.0,13287.0,12001.0,3567.0,8250.0,31170.0,7994.0,42453.0,94693.0,22166.0,6016.0,25195.0,13399.0,13942.0,12470.0,422592.0
84-Jährige,48700.0,58001.0,12657.0,10732.0,3345.0,7711.0,29104.0,6940.0,38277.0,85722.0,20436.0,5387.0,23629.0,11909.0,12859.0,11383.0,386792.0
85-Jährige,44826.0,53104.0,11392.0,9476.0,3039.0,7212.0,26587.0,6134.0,35747.0,77515.0,18548.0,4822.0,20760.0,10706.0,12301.0,10016.0,352185.0
86-Jährige,37654.0,45152.0,9521.0,7804.0,2603.0,6297.0,22930.0,5013.0,30155.0,66684.0,15690.0,4403.0,17088.0,8966.0,10577.0,8421.0,298958.0
87-Jährige,33601.0,40211.0,7694.0,6525.0,2380.0,5422.0,19977.0,4272.0,26025.0,56199.0,13553.0,3948.0,15297.0,7683.0,9344.0,7185.0,259316.0
88-Jährige,29995.0,36107.0,7611.0,6028.0,2176.0,5070.0,17981.0,3761.0,23840.0,51059.0,12159.0,3250.0,14374.0,7121.0,8485.0,6441.0,235458.0
89-Jährige,27181.0,32197.0,7434.0,5511.0,2073.0,4721.0,16124.0,3383.0,21157.0,44140.0,10481.0,2696.0,13555.0,6218.0,7774.0,5842.0,210487.0
90 Jahre und mehr,81696.0,83361.0,26044.0,15145.0,6141.0,15020.0,48012.0,9352.0,61582.0,121755.0,32460.0,7057.0,33674.0,15922.0,23843.0,14234.0,595298.0
Insgesamt,10753880.0,12538696.0,3460725.0,2503273.0,660706.0,1786448.0,6067021.0,1642327.0,7918293.0,17845154.0,4003745.0,1017567.0,4149477.0,2335006.0,2834259.0,2235025.0,81751602.0
31.12.2011,,,,,,,,,,,,,,,,,0.0
unter 1 Jahr,88456.0,103755.0,32502.0,18310.0,5175.0,16520.0,51172.0,12602.0,60823.0,141700.0,31075.0,7027.0,34248.0,16639.0,21300.0,17028.0,658332.0
1-Jährige,91653.0,105997.0,32800.0,19463.0,5502.0,16502.0,52066.0,13292.0,63621.0,146841.0,32097.0,7085.0,34848.0,17119.0,22783.0,17567.0,679236.0
2-Jährige,90832.0,104742.0,31708.0,19314.0,5404.0,15919.0,51258.0,13034.0,63311.0,145119.0,31519.0,6937.0,33995.0,16997.0,22546.0,16944.0,669579.0
3-Jährige,93497.0,107849.0,31524.0,20015.0,5399.0,15905.0,52715.0,13146.0,65874.0,150689.0,33017.0,7221.0,34362.0,17535.0,23477.0,17466.0,689691.0
4-Jährige,94522.0,108257.0,30609.0,19849.0,5539.0,15697.0,53068.0,12787.0,66526.0,150890.0,33196.0,7225.0,33596.0,17078.0,23843.0,17066.0,689748.0
5-Jährige,93601.0,106509.0,28797.0,19193.0,5331.0,15074.0,51814.0,12502.0,66371.0,150047.0,32431.0,7176.0,32179.0,16426.0,23679.0,16208.0,677338.0
6-Jährige,95624.0,108503.0,27558.0,19292.0,5232.0,14994.0,53248.0,12132.0,68115.0,152735.0,33303.0,7451.0,32137.0,16575.0,23916.0,16453.0,687268.0
7-Jährige,98043.0,111495.0,27735.0,19731.0,5165.0,14699.0,54039.0,12807.0,71284.0,157532.0,34329.0,7642.0,32611.0,16628.0,25235.0,16978.0,705953.0
8-Jährige,98461.0,112959.0,26471.0,19713.0,5224.0,14356.0,53772.0,12535.0,71746.0,159105.0,35003.0,7590.0,31503.0,16170.0,25491.0,16545.0,706644.0
9-Jährige,100822.0,115035.0,26435.0,19438.0,5225.0,14134.0,54823.0,12267.0,74709.0,163126.0,35758.0,7980.0,30962.0,16705.0,26177.0,16527.0,720123.0
10-Jährige,103309.0,117847.0,26212.0,19344.0,5483.0,14352.0,56060.0,12605.0,77605.0,167729.0,37044.0,8258.0,31051.0,16898.0,27155.0,16819.0,737771.0
11-Jährige,108816.0,123368.0,26704.0,20369.0,5727.0,14749.0,58531.0,12729.0,81713.0,175738.0,39249.0,8671.0,31906.0,17286.0,28779.0,16846.0,771181.0
12-Jährige,110475.0,125650.0,25939.0,19907.0,5745.0,14385.0,58566.0,12097.0,82573.0,176995.0,39744.0,9026.0,30195.0,16592.0,29434.0,16216.0,773539.0
13-Jährige,113787.0,129347.0,26054.0,19356.0,5872.0,14522.0,60264.0,11872.0,85481.0,182923.0,41467.0,9143.0,28797.0,16040.0,29847.0,15987.0,790759.0
14-Jährige,118444.0,133012.0,26078.0,18939.0,6062.0,14883.0,62664.0,11738.0,89089.0,190965.0,43442.0,9922.0,27830.0,15718.0,31126.0,15932.0,815844.0
15-Jährige,116751.0,131931.0,25491.0,17957.0,6012.0,14814.0,61868.0,11043.0,87341.0,189257.0,42656.0,10031.0,26163.0,14938.0,30917.0,14737.0,801907.0
16-Jährige,115129.0,129383.0,24723.0,16439.0,5999.0,14404.0,60286.0,9919.0,85159.0,185100.0,41942.0,9760.0,23591.0,13684.0,29642.0,13491.0,778651.0
17-Jährige,116504.0,131886.0,24804.0,15603.0,5959.0,15059.0,61420.0,9316.0,86764.0,190034.0,43234.0,10228.0,22659.0,13411.0,29881.0,12626.0,789388.0
18-Jährige,121512.0,138222.0,25699.0,15136.0,6435.0,15240.0,63217.0,9635.0,88749.0,198235.0,45504.0,10699.0,23575.0,13601.0,30890.0,13129.0,819478.0
19-Jährige,123765.0,140908.0,28037.0,15677.0,6991.0,16250.0,63958.0,10972.0,87564.0,200850.0,46023.0,10910.0,25924.0,15341.0,30912.0,14440.0,838522.0
20-Jährige,127723.0,146080.0,31998.0,18050.0,7920.0,17957.0,65987.0,13117.0,88337.0,205678.0,47084.0,11309.0,32012.0,18101.0,31041.0,17234.0,879628.0
21-Jährige,133848.0,154244.0,41171.0,26785.0,8768.0,20898.0,70082.0,20332.0,91164.0,213043.0,49368.0,11721.0,48109.0,27340.0,31775.0,26232.0,974880.0
22-Jährige,131183.0,150988.0,44618.0,28077.0,9113.0,21847.0,70429.0,21078.0,88231.0,208409.0,48167.0,11393.0,50761.0,28027.0,30598.0,27109.0,970028.0
23-Jährige,135019.0,156160.0,48678.0,28751.0,9674.0,24098.0,72749.0,21553.0,90582.0,214534.0,49558.0,11662.0,52560.0,29245.0,31424.0,28701.0,1004948.0
24-Jährige,130827.0,152762.0,51025.0,28525.0,9421.0,24719.0,71756.0,22077.0,88227.0,211343.0,47860.0,11653.0,54006.0,28946.0,30517.0,28929.0,992593.0
25-Jährige,130536.0,153870.0,52299.0,27238.0,9450.0,25519.0,71626.0,20764.0,86455.0,209217.0,47324.0,11671.0,51777.0,27642.0,29588.0,27782.0,982758.0
26-Jährige,126721.0,148721.0,52885.0,27286.0,9021.0,25923.0,69736.0,20497.0,82961.0,201180.0,44555.0,10949.0,51950.0,26825.0,28217.0,27088.0,954515.0
27-Jährige,127172.0,150250.0,53159.0,26608.0,8996.0,26906.0,71247.0,19760.0,82358.0,201810.0,44806.0,10998.0,51134.0,26753.0,28237.0,27020.0,957214.0
28-Jährige,127925.0,152789.0,53868.0,26860.0,9263.0,27885.0,71768.0,19765.0,83588.0,203699.0,44538.0,11099.0,51591.0,26925.0,28534.0,26888.0,966985.0
29-Jährige,131387.0,157835.0,55404.0,27413.0,9288.0,29042.0,75065.0,19921.0,85745.0,209772.0,46123.0,11334.0,52213.0,26253.0,29677.0,27463.0,993935.0
30-Jährige,131200.0,158916.0,54877.0,27180.0,9016.0,29463.0,75255.0,19182.0,86143.0,208943.0,46134.0,11207.0,50503.0,26094.0,29932.0,26595.0,990640.0
31-Jährige,131932.0,158299.0,54637.0,28356.0,8800.0,29156.0,75679.0,19573.0,86811.0,209362.0,45269.0,11139.0,51693.0,26388.0,30455.0,27089.0,994638.0
32-Jährige,124480.0,151572.0,51195.0,27617.0,8060.0,27526.0,73327.0,18956.0,83784.0,199613.0,43537.0,10477.0,49814.0,25204.0,29210.0,25973.0,950345.0
33-Jährige,121775.0,150165.0,49161.0,27983.0,7946.0,26692.0,72804.0,19032.0,83608.0,197949.0,43010.0,10299.0,49899.0,25324.0,29553.0,24963.0,940163.0
34-Jährige,121779.0,149775.0,47686.0,27358.0,7894.0,26101.0,72113.0,18451.0,83613.0,198919.0,42812.0,10359.0,48726.0,24290.0,29696.0,24596.0,934168.0
35-Jährige,122442.0,148831.0,45513.0,25058.0,7787.0,25643.0,72575.0,16083.0,84723.0,200389.0,42391.0,9978.0,43406.0,21736.0,30113.0,21995.0,918663.0
36-Jährige,120132.0,146288.0,43507.0,24090.0,7617.0,24270.0,70746.0,15251.0,83185.0,195638.0,41957.0,9672.0,41301.0,20701.0,29477.0,21091.0,894923.0
37-Jährige,123635.0,149413.0,42206.0,24050.0,7489.0,24004.0,72087.0,14968.0,86440.0,199093.0,42664.0,10003.0,40924.0,21363.0,30196.0,21873.0,910408.0
38-Jährige,123588.0,149628.0,41031.0,24762.0,7652.0,23228.0,72791.0,15499.0,88649.0,202562.0,43951.0,10068.0,41525.0,22405.0,31389.0,22645.0,921373.0
39-Jährige,134706.0,162740.0,42672.0,27898.0,8084.0,24276.0,78086.0,17160.0,97529.0,220195.0,48044.0,11084.0,45757.0,25820.0,34441.0,25587.0,1004079.0
40-Jährige,146091.0,176831.0,47067.0,33087.0,8626.0,25796.0,85187.0,19933.0,107803.0,242219.0,53114.0,12467.0,53728.0,30754.0,39063.0,28967.0,1110733.0
41-Jährige,152164.0,184258.0,47845.0,33866.0,8956.0,26192.0,89140.0,20360.0,113810.0,254109.0,55887.0,12877.0,53786.0,31025.0,41018.0,29625.0,1154918.0
42-Jährige,163865.0,200035.0,49989.0,35575.0,9627.0,27494.0,96470.0,21245.0,123978.0,279560.0,61035.0,14509.0,54184.0,32253.0,45866.0,30096.0,1245781.0
43-Jährige,172459.0,208979.0,52672.0,37645.0,10316.0,29253.0,101086.0,22723.0,130670.0,293287.0,64791.0,15540.0,55527.0,33252.0,49044.0,30660.0,1307904.0
44-Jährige,176759.0,214691.0,53093.0,40231.0,10404.0,29670.0,103161.0,23955.0,135268.0,301550.0,66880.0,16194.0,57595.0,34889.0,51069.0,31885.0,1347294.0
45-Jährige,181627.0,217898.0,55470.0,43261.0,10814.0,29787.0,105774.0,26040.0,138474.0,309902.0,69770.0,16936.0,61113.0,36436.0,51685.0,34325.0,1389312.0
46-Jährige,181296.0,216785.0,57433.0,45551.0,10751.0,28925.0,106028.0,27735.0,137365.0,309060.0,70079.0,17317.0,63818.0,38174.0,50785.0,35531.0,1396633.0
47-Jährige,184826.0,220219.0,58277.0,47639.0,10658.0,29279.0,107084.0,29237.0,138404.0,313802.0,71940.0,17933.0,66664.0,40004.0,51513.0,37605.0,1425084.0
48-Jährige,182813.0,217865.0,58165.0,49313.0,10459.0,28167.0,105368.0,30602.0,136758.0,308119.0,72113.0,17992.0,67732.0,41508.0,50007.0,38621.0,1415602.0
49-Jährige,177133.0,211345.0,55373.0,49095.0,10310.0,26262.0,101386.0,30585.0,132415.0,296105.0,70286.0,17939.0,66684.0,41054.0,47897.0,38260.0,1372129.0
50-Jährige,174195.0,208791.0,52647.0,48532.0,9906.0,25228.0,99028.0,31092.0,130927.0,291566.0,70093.0,18235.0,66679.0,41154.0,46823.0,39568.0,1354464.0
51-Jährige,169153.0,200251.0,50423.0,46812.0,9688.0,24540.0,95583.0,30422.0,125593.0,285006.0,67932.0,17539.0,64138.0,40108.0,44557.0,37747.0,1309492.0
52-Jährige,162505.0,194242.0,48412.0,45809.0,9444.0,23400.0,93082.0,29810.0,122217.0,278460.0,65895.0,17845.0,63720.0,39284.0,43431.0,37812.0,1275368.0
53-Jährige,154723.0,184707.0,44588.0,42098.0,9119.0,22270.0,88429.0,28088.0,115052.0,264714.0,62420.0,17146.0,59047.0,36975.0,40811.0,35160.0,1205347.0
54-Jährige,150601.0,179394.0,42830.0,41065.0,9087.0,21280.0,86392.0,27411.0,113186.0,259243.0,61957.0,16540.0,58905.0,36551.0,39820.0,35147.0,1179409.0
